Tiempo (s)	Setpoint (K)	Temperatura (K)	dT/dt (K/min)	Potencia_LS (%)	Rrem1 (Ohm)	std Rrem1 (Ohm)	Rrem2 (Ohm)		std Rrem2 (Ohm)	V4W (V)	
24.460399E+0	296.720000E+0	296.720000E+0	NaN	2.000000E+0	878.670244E+3	878.670244E+3	162.302416E+3	162.302416E+3	988.917000E-3	
29.977715E+0	296.720000E+0	296.720000E+0	NaN	10.000000E+0	1.457862E+6	1.457862E+6	282.244700E+3	282.244700E+3	1.008170E+0	
35.467029E+0	296.811955E+0	296.720000E+0	NaN	9.000000E+0	1.538968E+6	1.538968E+6	287.565586E+3	287.565586E+3	1.003130E+0	
40.957343E+0	296.903444E+0	296.720000E+0	NaN	11.000000E+0	1.554119E+6	1.554119E+6	298.007427E+3	298.007427E+3	1.000293E+0	
46.434656E+0	296.994949E+0	296.720000E+0	NaN	12.000000E+0	1.017537E+6	1.017537E+6	201.883257E+3	201.883257E+3	993.625000E-3	
51.929970E+0	297.086238E+0	296.720000E+0	NaN	14.000000E+0	1.374990E+6	1.374990E+6	261.552704E+3	261.552704E+3	1.006245E+0	
57.420284E+0	297.177826E+0	296.720000E+0	NaN	14.000000E+0	1.040766E+6	1.040766E+6	203.588017E+3	203.588017E+3	1.001602E+0	
62.892597E+0	297.269331E+0	296.720000E+0	0.000000E+0	19.000000E+0	1.140408E+6	1.140408E+6	219.302999E+3	219.302999E+3	1.003787E+0	
68.367910E+0	297.360537E+0	296.720000E+0	0.000000E+0	20.000000E+0	1.249457E+6	1.249457E+6	243.136145E+3	243.136145E+3	1.004738E+0	
73.845224E+0	297.451792E+0	296.720000E+0	0.000000E+0	23.000000E+0	1.349700E+6	1.349700E+6	246.155241E+3	246.155241E+3	1.004879E+0	
79.334538E+0	297.543080E+0	296.720000E+0	0.000000E+0	20.000000E+0	951.982056E+3	951.982056E+3	176.457730E+3	176.457730E+3	999.505000E-3	
84.867854E+0	297.634569E+0	296.720000E+0	0.000000E+0	24.000000E+0	1.008865E+6	1.008865E+6	185.395290E+3	185.395290E+3	996.002000E-3	
