Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Tiempo de Pulso (s),Vcc (V),Vrange,NPLC,Ch2?
0.0944,0.02,0.001,4.12714,206356.99999999997,230381.2,0.2303812,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0960,0.02,0.001,4.12714,206356.99999999997,240866.40000000002,0.2408664,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0976,0.02,0.001,4.12714,206356.99999999997,137260.7,0.1372607,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.0992,0.02,0.001,4.12714,206356.99999999997,127142.10000000002,0.1271421,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1008,0.02,0.001,4.12714,206356.99999999997,327680.8,0.3276808,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1024,0.02,0.001,4.12714,206356.99999999997,290946.0,0.290946,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1040,0.02,0.001,4.12714,206356.99999999997,174655.5,0.1746555,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1056,0.02,0.001,4.12714,206356.99999999997,110937.70000000001,0.1109377,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1072,0.02,0.001,4.12714,206356.99999999997,85934.6,0.0859346,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1089,0.02,0.001,4.12714,206356.99999999997,108444.8,0.1084448,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1105,0.02,0.001,4.12714,206356.99999999997,234853.90000000002,0.2348539,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1121,0.02,0.001,4.12714,206356.99999999997,301577.80000000005,0.3015778,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1138,0.02,0.001,4.12714,206356.99999999997,375194.2,0.3751942,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1154,0.02,0.001,4.12714,206356.99999999997,368741.7,0.3687417,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1170,0.02,0.001,4.12714,206356.99999999997,257070.8,0.2570708,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1187,0.02,0.001,4.12714,206356.99999999997,237786.80000000002,0.2377868,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1203,0.02,0.001,4.12714,206356.99999999997,189980.00000000003,0.18998,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1220,0.02,0.001,4.12714,206356.99999999997,178394.9,0.1783949,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1236,0.02,0.001,4.12714,206356.99999999997,186973.7,0.1869737,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1253,0.02,0.001,4.12714,206356.99999999997,125969.0,0.125969,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1269,0.02,0.001,4.12714,206356.99999999997,107198.3,0.1071983,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1285,0.02,0.001,4.12714,206356.99999999997,308103.6,0.3081036,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1301,0.02,0.001,4.12714,206356.99999999997,376953.9,0.3769539,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1317,0.02,0.001,4.12714,206356.99999999997,262350.00000000006,0.26235,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1333,0.02,0.001,4.12714,206356.99999999997,195625.8,0.1956258,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1350,0.02,0.001,4.12714,206356.99999999997,157277.9,0.1572779,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1366,0.02,0.001,4.12714,206356.99999999997,137040.69999999998,0.1370407,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1383,0.02,0.001,4.12714,206356.99999999997,145179.6,0.1451796,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1399,0.02,0.001,4.12714,206356.99999999997,172969.00000000003,0.172969,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1415,0.02,0.001,4.12714,206356.99999999997,277674.5,0.2776745,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1431,0.02,0.001,4.12714,206356.99999999997,351657.5,0.3516575,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1447,0.02,0.001,4.12714,206356.99999999997,388025.7,0.3880257,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1464,0.02,0.001,4.12714,206356.99999999997,286473.3,0.2864733,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1481,0.02,0.001,4.12714,206356.99999999997,210217.30000000002,0.2102173,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1497,0.02,0.001,4.12714,206356.99999999997,250031.70000000004,0.2500317,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1513,0.02,0.001,4.12714,206356.99999999997,188440.2,0.1884402,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1530,0.02,0.001,4.12714,206356.99999999997,182207.7,0.1822077,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1546,0.02,0.001,4.12714,206356.99999999997,85201.4,0.0852014,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1562,0.02,0.001,4.12714,206356.99999999997,80655.3,0.0806553,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1579,0.02,0.001,4.12714,206356.99999999997,156324.7,0.1563247,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1595,0.02,0.001,4.12714,206356.99999999997,256850.8,0.2568508,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1611,0.02,0.001,4.12714,206356.99999999997,320641.8,0.3206418,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1628,0.02,0.001,4.12714,206356.99999999997,351877.4,0.3518774,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1644,0.02,0.001,4.12714,206356.99999999997,360822.8,0.3608228,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1660,0.02,0.001,4.12714,206356.99999999997,325407.80000000005,0.3254078,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1677,0.02,0.001,4.12714,206356.99999999997,241013.00000000003,0.241013,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1693,0.02,0.001,4.12714,206356.99999999997,181914.40000000002,0.1819144,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1709,0.02,0.001,4.12714,206356.99999999997,122522.8,0.1225228,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1726,0.02,0.001,4.12714,206356.99999999997,80582.0,0.080582,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1743,0.02,0.001,4.12714,206356.99999999997,80068.8,0.0800688,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1759,0.02,0.001,4.12714,206356.99999999997,106611.70000000001,0.1066117,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1776,0.02,0.001,4.12714,206356.99999999997,106465.00000000001,0.106465,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1792,0.02,0.001,4.12714,206356.99999999997,171575.90000000002,0.1715759,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1808,0.02,0.001,4.12714,206356.99999999997,328487.4,0.3284874,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1824,0.02,0.001,4.12714,206356.99999999997,384506.2,0.3845062,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1840,0.02,0.001,4.12714,206356.99999999997,255237.7,0.2552377,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1856,0.02,0.001,4.12714,206356.99999999997,189540.0,0.18954,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1873,0.02,0.001,4.12714,206356.99999999997,128901.90000000002,0.1289019,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1889,0.02,0.001,4.12714,206356.99999999997,137847.30000000002,0.1378473,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
0.1905,0.02,0.001,4.12714,206356.99999999997,195772.5,0.1957725,nan,nan,nan,nan,1.0,20.0,10 V,0.2,False
