Tiempo (s)	Setpoint (K)	Temperatura (K)	dT/dt (K/min)	Potencia_LS (%)	Rrem1 (Ohm)	std Rrem1 (Ohm)	Rrem2 (Ohm)		std Rrem2 (Ohm)	V4W (V)	
21.103207E+0	200.801305E+0	200.710000E+0	-911.541528E-3	35.000000E+0	1.000000E+0	1.000000E+0	0.000000E+0	0.000000E+0	99.100000E+36	
26.362508E+0	200.801305E+0	200.770000E+0	-911.541528E-3	42.000000E+0	30.057126E+6	30.057126E+6	-1.488274E+45	-1.488274E+45	999.700000E-3	
31.843821E+0	200.888960E+0	200.770000E+0	-911.541528E-3	42.000000E+0	9.764316E+6	9.764316E+6	390.715542E+3	390.715542E+3	999.573000E-3	
37.356136E+0	200.980315E+0	200.770000E+0	-911.541528E-3	44.000000E+0	16.288398E+6	16.288398E+6	628.284993E+3	628.284993E+3	999.619000E-3	
42.839450E+0	201.072187E+0	200.830000E+0	-911.541528E-3	45.000000E+0	8.112946E+6	8.112946E+6	413.985237E+3	413.985237E+3	1.000164E+0	
48.316763E+0	201.163576E+0	200.830000E+0	-565.162065E-3	51.000000E+0	10.403924E+6	10.403924E+6	405.471482E+3	405.471482E+3	999.609000E-3	
53.780076E+0	201.254864E+0	200.830000E+0	-218.915471E-3	54.000000E+0	9.733265E+6	9.733265E+6	485.889311E+3	485.889311E+3	999.801000E-3	
59.255389E+0	201.345920E+0	200.830000E+0	218.706230E-3	54.000000E+0	11.201680E+6	11.201680E+6	402.371781E+3	402.371781E+3	1.000310E+0	
64.723702E+0	201.437175E+0	200.900000E+0	218.706230E-3	55.000000E+0	11.921433E+6	11.921433E+6	411.790440E+3	411.790440E+3	1.000089E+0	
70.245018E+0	201.528313E+0	200.900000E+0	109.412906E-3	55.000000E+0	8.950591E+6	8.950591E+6	407.117210E+3	407.117210E+3	999.602000E-3	
75.739332E+0	201.620335E+0	200.960000E+0	127.706617E-3	57.000000E+0	11.113115E+6	11.113115E+6	421.358786E+3	421.358786E+3	999.847000E-3	
81.238647E+0	201.711907E+0	201.020000E+0	255.588222E-3	58.000000E+0	13.879303E+6	13.879303E+6	480.848140E+3	480.848140E+3	999.865000E-3	
86.719960E+0	201.803563E+0	201.080000E+0	365.150981E-3	65.000000E+0	8.772722E+6	8.772722E+6	385.197282E+3	385.197282E+3	1.000529E+0	
92.207274E+0	201.894918E+0	201.150000E+0	456.290129E-3	77.000000E+0	9.420541E+6	9.420541E+6	464.286118E+3	464.286118E+3	1.000273E+0	
97.688587E+0	201.986373E+0	201.210000E+0	546.142399E-3	74.000000E+0	15.393640E+6	15.393640E+6	519.955343E+3	519.955343E+3	999.663000E-3	
103.207903E+0	202.077728E+0	201.330000E+0	672.265551E-3	80.000000E+0	9.116038E+6	9.116038E+6	477.718818E+3	477.718818E+3	999.847000E-3	
108.714218E+0	202.169717E+0	201.470000E+0	690.265119E-3	74.000000E+0	14.907739E+6	14.907739E+6	578.462571E+3	578.462571E+3	999.713000E-3	
114.195531E+0	202.261489E+0	201.530000E+0	800.949642E-3	74.000000E+0	9.370527E+6	9.370527E+6	389.118419E+3	389.118419E+3	1.000210E+0	
119.677845E+0	202.352844E+0	201.660000E+0	1.039646E+0	66.000000E+0	8.586185E+6	8.586185E+6	404.531210E+3	404.531210E+3	1.000033E+0	
125.156158E+0	202.444216E+0	201.840000E+0	1.167577E+0	69.000000E+0	12.664058E+6	12.664058E+6	477.227077E+3	477.227077E+3	999.954000E-3	
130.680474E+0	202.535521E+0	201.970000E+0	1.185317E+0	65.000000E+0	15.901718E+6	15.901718E+6	609.768607E+3	609.768607E+3	999.900000E-3	
136.171789E+0	202.627593E+0	202.090000E+0	1.275720E+0	60.000000E+0	13.194511E+6	13.194511E+6	515.994854E+3	515.994854E+3	1.000012E+0	
141.691104E+0	202.719115E+0	202.280000E+0	1.475009E+0	55.000000E+0	9.268727E+6	9.268727E+6	370.492958E+3	370.492958E+3	1.000281E+0	
147.212420E+0	202.811104E+0	202.470000E+0	1.583908E+0	55.000000E+0	9.452567E+6	9.452567E+6	416.524350E+3	416.524350E+3	999.609000E-3	
152.716735E+0	202.903125E+0	202.670000E+0	1.584165E+0	53.000000E+0	8.552121E+6	8.552121E+6	386.919788E+3	386.919788E+3	1.000085E+0	
158.223050E+0	202.994864E+0	202.860000E+0	1.712039E+0	50.000000E+0	9.266463E+6	9.266463E+6	388.863552E+3	388.863552E+3	999.666000E-3	
163.736365E+0	203.086636E+0	202.980000E+0	1.968100E+0	49.000000E+0	12.964601E+6	12.964601E+6	456.250000E+3	456.250000E+3	999.830000E-3	
169.236680E+0	203.178525E+0	203.170000E+0	2.114826E+0	48.000000E+0	9.300214E+6	9.300214E+6	385.571987E+3	385.571987E+3	999.959000E-3	
174.716993E+0	203.270196E+0	203.370000E+0	1.986594E+0	50.000000E+0	9.725190E+6	9.725190E+6	465.275238E+3	465.275238E+3	999.944000E-3	
180.204307E+0	203.361535E+0	203.490000E+0	1.838976E+0	46.000000E+0	10.939440E+6	10.939440E+6	515.466732E+3	515.466732E+3	999.646000E-3	
185.680620E+0	203.452990E+0	203.620000E+0	1.837550E+0	47.000000E+0	9.541441E+6	9.541441E+6	393.376908E+3	393.376908E+3	999.943000E-3	
191.167934E+0	203.544262E+0	203.740000E+0	1.856529E+0	46.000000E+0	9.930872E+6	9.930872E+6	377.739230E+3	377.739230E+3	1.000436E+0	
