Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
300.000000E+0,393.744500E+3,53.517500E+3,-1.186510E+6,10.230000E+3,100.000000E+0
400.000000E+0,258.865500E+3,19.183500E+3,-893.606000E+3,2.826000E+3,100.000000E+0
500.000000E+0,160.794500E+3,4.608500E+3,-775.438000E+3,14.034000E+3,100.000000E+0
600.000000E+0,124.320500E+3,9.127500E+3,-620.308500E+3,19.730500E+3,100.000000E+0
750.000000E+0,91.952400E+3,2.403500E+3,-519.063500E+3,3.527500E+3,100.000000E+0
1.000000E+3,56.260150E+3,4.057950E+3,-384.380500E+3,1.937500E+3,100.000000E+0
1.200000E+3,39.017700E+3,1.231400E+3,-332.720500E+3,340.500000E+0,100.000000E+0
1.500000E+3,32.063950E+3,116.050000E+0,-267.231000E+3,633.000000E+0,100.000000E+0
2.000000E+3,21.326200E+3,1.575000E+3,-202.113500E+3,708.500000E+0,100.000000E+0
2.500000E+3,13.813300E+3,905.200000E+0,-164.080000E+3,28.000000E+0,100.000000E+0
3.000000E+3,10.557405E+3,580.795000E+0,-138.054000E+3,455.000000E+0,100.000000E+0
4.000000E+3,6.595085E+3,336.715000E+0,-104.519000E+3,86.000000E+0,100.000000E+0
5.000000E+3,4.395530E+3,39.450000E+0,-84.048000E+3,195.900000E+0,100.000000E+0
6.000000E+3,3.390700E+3,38.890000E+0,-70.390400E+3,143.300000E+0,100.000000E+0
7.500000E+3,2.180540E+3,29.830000E+0,-56.336050E+3,200.150000E+0,100.000000E+0
10.000000E+3,1.360015E+3,16.715000E+0,-42.537500E+3,7.900000E+0,100.000000E+0
12.000000E+3,967.590000E+0,36.680000E+0,-35.525100E+3,4.200000E+0,100.000000E+0
15.000000E+3,692.584500E+0,17.262500E+0,-28.440600E+3,4.600000E+0,100.000000E+0
20.000000E+3,453.123000E+0,25.196000E+0,-21.406750E+3,2.850000E+0,100.000000E+0
25.000000E+3,322.964500E+0,2.991500E+0,-17.140100E+3,5.800000E+0,100.000000E+0
30.000000E+3,255.795000E+0,5.101000E+0,-14.297950E+3,9.850000E+0,100.000000E+0
40.000000E+3,170.687000E+0,588.000000E-3,-10.741850E+3,3.950000E+0,100.000000E+0
50.000000E+3,127.014000E+0,840.000000E-3,-8.606445E+3,755.000018E-3,100.000000E+0
60.000000E+3,104.155500E+0,1.356500E+0,-7.180595E+3,1.055000E+0,100.000000E+0
75.000000E+3,79.708250E+0,98.150000E-3,-5.750765E+3,55.000025E-3,100.000000E+0
100.000000E+3,56.646500E+0,120.600000E-3,-4.321060E+3,70.000007E-3,100.000000E+0
120.000000E+3,47.604150E+0,113.550000E-3,-3.603500E+3,140.000001E-3,100.000000E+0
150.000000E+3,37.437400E+0,86.000000E-3,-2.886325E+3,545.000001E-3,100.000000E+0
200.000000E+3,28.780450E+0,29.150000E-3,-2.166730E+3,40.000001E-3,100.000000E+0
