Frecuencia (Hz),Mean A,SD A,Mean B,SD B,Amplitud (V)
20.000000E+0,1.715180E+6,1.715180E+6,1.849925E+6,1.849925E+6,100.000000E+0
25.000000E+0,7.021450E+6,706.940000E+3,-3.178280E+6,41.250000E+3,100.000000E+0
30.000000E+0,5.162160E+6,1.565970E+6,-1.399432E+6,1.600738E+6,100.000000E+0
40.000000E+0,-171.313310E+3,177.523690E+3,2.894910E+6,60.490000E+3,100.000000E+0
50.000000E+0,625.768000E+3,111.032000E+3,-1.364545E+6,21.145000E+3,100.000000E+0
60.000000E+0,-956.752000E+3,243.108000E+3,-2.427740E+6,5.810000E+3,100.000000E+0
75.000000E+0,-38.016755E+6,41.108545E+6,-76.844315E+6,75.430685E+6,100.000000E+0
100.000000E+0,1.651970E+6,132.980000E+3,-628.923000E+3,17.495000E+3,100.000000E+0
120.000000E+0,1.569766E+6,721.754500E+3,-4.385150E+6,1.252710E+6,100.000000E+0
150.000000E+0,594.073500E+3,3.904500E+3,-1.547365E+6,83.935000E+3,100.000000E+0
200.000000E+0,714.501000E+3,135.573000E+3,-2.002455E+6,60.825000E+3,100.000000E+0
250.000000E+0,643.667000E+3,87.041000E+3,-1.358640E+6,104.530000E+3,100.000000E+0
300.000000E+0,9.765500E+3,154.570500E+3,-1.531780E+6,60.860000E+3,100.000000E+0
400.000000E+0,117.590700E+3,39.785300E+3,-1.071595E+6,20.575000E+3,100.000000E+0
500.000000E+0,107.549000E+3,7.475000E+3,-859.263000E+3,6.728000E+3,100.000000E+0
600.000000E+0,80.287700E+3,3.307700E+3,-701.635000E+3,8.797000E+3,100.000000E+0
750.000000E+0,49.095050E+3,10.051050E+3,-570.355000E+3,21.130000E+3,100.000000E+0
1.000000E+3,25.163350E+3,7.184950E+3,-422.199500E+3,999.500000E+0,100.000000E+0
1.200000E+3,19.811600E+3,5.058400E+3,-360.406500E+3,715.500000E+0,100.000000E+0
1.500000E+3,8.796565E+3,217.295000E+0,-283.014500E+3,1.909500E+3,100.000000E+0
2.000000E+3,9.170145E+3,2.177055E+3,-213.669000E+3,795.000000E+0,100.000000E+0
2.500000E+3,4.867605E+3,557.265000E+0,-171.178000E+3,420.000000E+0,100.000000E+0
3.000000E+3,4.160120E+3,33.350000E+0,-141.862000E+3,89.000000E+0,100.000000E+0
4.000000E+3,2.424615E+3,43.855000E+0,-107.104500E+3,94.500000E+0,100.000000E+0
5.000000E+3,1.449230E+3,288.280000E+0,-85.707450E+3,131.750000E+0,100.000000E+0
6.000000E+3,1.295775E+3,43.005000E+0,-71.545250E+3,68.450000E+0,100.000000E+0
7.500000E+3,906.678000E+0,1.824000E+0,-57.197000E+3,107.100000E+0,100.000000E+0
10.000000E+3,579.872000E+0,74.325000E+0,-43.046950E+3,8.750000E+0,100.000000E+0
12.000000E+3,433.565500E+0,60.137500E+0,-35.839450E+3,11.550000E+0,100.000000E+0
15.000000E+3,280.582000E+0,2.263000E+0,-28.686750E+3,37.050000E+0,100.000000E+0
20.000000E+3,247.292500E+0,23.344500E+0,-21.566150E+3,7.950000E+0,100.000000E+0
25.000000E+3,187.954000E+0,3.140000E+0,-17.260200E+3,3.000000E+0,100.000000E+0
30.000000E+3,147.611500E+0,12.202500E+0,-14.402950E+3,3.650000E+0,100.000000E+0
40.000000E+3,107.218000E+0,3.124000E+0,-10.821200E+3,5.400000E+0,100.000000E+0
50.000000E+3,86.194800E+0,3.492200E+0,-8.664385E+3,755.000018E-3,100.000000E+0
60.000000E+3,69.133550E+0,601.550000E-3,-7.228630E+3,640.000004E-3,100.000000E+0
75.000000E+3,56.953250E+0,780.650000E-3,-5.790670E+3,710.000002E-3,100.000000E+0
100.000000E+3,41.912700E+0,750.100000E-3,-4.347560E+3,390.000005E-3,100.000000E+0
120.000000E+3,34.718700E+0,770.100000E-3,-3.626315E+3,55.000008E-3,100.000000E+0
150.000000E+3,27.851450E+0,587.750000E-3,-2.902625E+3,134.999997E-3,100.000000E+0
200.000000E+3,21.085300E+0,67.700000E-3,-2.179310E+3,110.000000E-3,100.000000E+0
