Tiempo (min),Vdc (V),Freq (Hz),R_ch1 (Ohm),X_ch1 (Ohm),|Z|_ch1 (Ohm),Theta_ch1 (Deg),Vm_ch1 (V),Im_ch1 (A),R_ch2 (Ohm),X_ch2 (Ohm),|Z|_ch2 (Ohm),Theta_ch2 (Deg),Vm_ch2 (V),Im_ch2 (A),Status
0.1153,0.0,20.0,399769.0,-685.672,399769.5880217648,-0.09827193505817512,0.249937,6.25204e-07,nan,nan,nan,nan,nan,nan,0
0.1775,0.0,25.0,515094.0,-4116.23,515110.4465892853,-0.45785349164409667,0.249951,4.85239e-07,nan,nan,nan,nan,nan,nan,0
0.2310,0.0,30.0,506616.0,-90884.9,514703.63948976505,-10.17045137140575,0.249952,4.85624e-07,nan,nan,nan,nan,nan,nan,0
0.2735,0.0,40.0,321500.0,-121509.0,343695.6314546346,-20.703785281548388,0.249932,7.27189e-07,nan,nan,nan,nan,nan,nan,0
0.3105,0.0,50.0,405072.0,-162542.0,436466.7535425808,-21.863959758480277,0.249947,5.72659e-07,nan,nan,nan,nan,nan,nan,0
0.3430,0.0,60.0,299493.0,-6484.62,299563.1942437929,-1.2403739434940555,0.249917,8.34271e-07,nan,nan,nan,nan,nan,nan,0
0.3708,0.0,75.0,529920.0,6223.02,529956.5381971623,0.6728117319180712,0.249953,4.71648e-07,nan,nan,nan,nan,nan,nan,0
0.3942,0.0,100.0,490425.0,12603.0,490586.9099700888,1.4720697675896974,0.249949,5.0949e-07,nan,nan,nan,nan,nan,nan,0
0.4142,0.0,120.0,489369.0,23147.5,489916.1406988445,2.7081124482826637,0.249949,5.10188e-07,nan,nan,nan,nan,nan,nan,0
0.4349,0.0,150.0,488390.0,33942.0,489568.0253693045,3.9755347398918452,0.249949,5.1055e-07,nan,nan,nan,nan,nan,nan,0
0.4543,0.0,200.0,475728.0,49124.5,478257.6151868886,5.895566233701767,0.249948,5.22622e-07,nan,nan,nan,nan,nan,nan,0
0.4730,0.0,250.0,474155.0,68724.6,479109.62698547397,8.247088212894742,0.249948,5.21693e-07,nan,nan,nan,nan,nan,nan,0
0.4911,0.0,300.0,465472.0,83901.8,472973.24958948785,10.217903801663306,0.249948,5.28461e-07,nan,nan,nan,nan,nan,nan,0
0.5086,0.0,400.0,454599.0,116423.0,469270.24807673454,14.36473678855863,0.249948,5.32632e-07,nan,nan,nan,nan,nan,nan,0
0.5249,0.0,500.0,436938.0,140833.0,459073.7955198489,17.865067523198896,0.249948,5.44461e-07,nan,nan,nan,nan,nan,nan,0
0.5409,0.0,600.0,418855.0,164167.0,449878.1111745714,21.40231469132562,0.249948,5.55591e-07,nan,nan,nan,nan,nan,nan,0
0.5566,0.0,750.0,401337.0,191422.0,444650.16547056404,25.499310394499815,0.249949,5.62126e-07,nan,nan,nan,nan,nan,nan,0
0.5716,0.0,1000.0,338163.0,230151.0,409052.19394351135,34.23888611924932,0.249949,6.11045e-07,nan,nan,nan,nan,nan,nan,0
0.5865,0.0,1200.0,300049.0,243474.0,386405.2161617387,39.05751473638855,0.24995,6.4686e-07,nan,nan,nan,nan,nan,nan,0
0.6013,0.0,1500.0,246730.0,256120.0,355630.6332418511,46.06979188223724,0.249951,7.02839e-07,nan,nan,nan,nan,nan,nan,0
0.6160,0.0,2000.0,175997.0,251258.0,306766.24092784396,54.990169350276034,0.249953,8.14801e-07,nan,nan,nan,nan,nan,nan,0
0.6306,0.0,2500.0,130722.0,235466.0,269318.5445527285,60.96258791562141,0.249955,9.28101e-07,nan,nan,nan,nan,nan,nan,0
0.6455,0.0,3000.0,99898.5,216242.0,238202.25201758693,65.20422107946933,0.249956,1.04934e-06,nan,nan,nan,nan,nan,nan,0
0.6601,0.0,4000.0,60021.7,181006.0,190698.12926950803,71.65444753887267,0.249959,1.31076e-06,nan,nan,nan,nan,nan,nan,0
0.6746,0.0,5000.0,39417.9,153537.0,158516.18595402176,75.60129580731947,0.249961,1.57688e-06,nan,nan,nan,nan,nan,nan,0
0.6892,0.0,6000.0,26325.6,131701.0,134306.33125940117,78.69617500991613,0.249963,1.86115e-06,nan,nan,nan,nan,nan,nan,0
0.7037,0.0,7500.0,17558.4,108763.0,110171.1739955602,80.82944807488961,0.249964,2.26887e-06,nan,nan,nan,nan,nan,nan,0
0.7183,0.0,10000.0,9807.24,83571.2,84144.68150666208,83.30684364116142,0.249965,2.97066e-06,nan,nan,nan,nan,nan,nan,0
0.7325,0.0,12000.0,6622.16,70308.1,70619.2744842058,84.61931467269005,0.249967,3.53964e-06,nan,nan,nan,nan,nan,nan,0
0.7467,0.0,15000.0,4574.25,56884.7,57068.3174550687,85.40258623323949,0.249965,4.38009e-06,nan,nan,nan,nan,nan,nan,0
0.7610,0.0,20000.0,2282.44,42801.2,42862.01411265691,86.9475054823269,0.249968,5.83193e-06,nan,nan,nan,nan,nan,nan,0
0.7752,0.0,25000.0,1412.2,34398.2,34427.17635938213,87.64907213510314,0.249969,7.26081e-06,nan,nan,nan,nan,nan,nan,0
0.7897,0.0,30000.0,964.283,28630.4,28646.634110556326,88.07098506053784,0.249969,8.72596e-06,nan,nan,nan,nan,nan,nan,0
0.8039,0.0,40000.0,474.856,21504.3,21509.542224574096,88.73500538085582,0.249972,1.16215e-05,nan,nan,nan,nan,nan,nan,0
0.8180,0.0,50000.0,149.187,17234.0,17234.645710340814,89.50402855077816,0.249983,1.45047e-05,nan,nan,nan,nan,nan,nan,0
0.8322,0.0,60000.0,60.8481,14369.6,14369.728830123191,89.75738235693717,0.249987,1.73967e-05,nan,nan,nan,nan,nan,nan,0
0.8463,0.0,75000.0,-23.8462,11531.7,11531.724655542832,90.11848076779255,0.249995,2.16789e-05,nan,nan,nan,nan,nan,nan,0
0.8607,0.0,100000.0,-105.922,8668.88,8669.527087706918,90.70004216990904,0.250019,2.88388e-05,nan,nan,nan,nan,nan,nan,0
0.8748,0.0,120000.0,-134.372,7236.87,7238.117381701129,91.06372836686032,0.25004,3.45449e-05,nan,nan,nan,nan,nan,nan,0
0.8890,0.0,150000.0,-145.608,5796.77,5798.598461918536,91.43889957678577,0.250071,4.31261e-05,nan,nan,nan,nan,nan,nan,0
0.9031,0.0,200000.0,-113.277,4112.4,4113.959824637207,91.57782639861122,0.250094,6.07914e-05,nan,nan,nan,nan,nan,nan,0
0.9960,0.1,20.0,385044.0,-4599.25,385071.4674402175,-0.6843505739162867,0.249935,6.49061e-07,nan,nan,nan,nan,nan,nan,0
1.0582,0.1,25.0,527498.0,-6079.08,527533.0276083635,-0.6602683023319682,0.249953,4.73814e-07,nan,nan,nan,nan,nan,nan,0
1.1119,0.1,30.0,511635.0,-34705.6,512810.7369160283,-3.880584675176168,0.249951,4.87415e-07,nan,nan,nan,nan,nan,nan,0
1.1543,0.1,40.0,389188.0,-12574.6,389391.0886360395,-1.8505733984691202,0.249936,6.41863e-07,nan,nan,nan,nan,nan,nan,0
1.1913,0.1,50.0,386126.0,95987.4,397877.9572114545,13.960230596799548,0.249939,6.28181e-07,nan,nan,nan,nan,nan,nan,0
1.2240,0.1,60.0,494063.0,-241743.0,550034.4771175713,-26.072313723036334,0.249959,4.54443e-07,nan,nan,nan,nan,nan,nan,0
1.2519,0.1,75.0,665908.0,114270.0,675641.2490101533,9.737135648961031,0.249964,3.69965e-07,nan,nan,nan,nan,nan,nan,0
1.2754,0.1,100.0,506770.0,-933.547,506770.8598666672,-0.10554737370534414,0.249951,4.93223e-07,nan,nan,nan,nan,nan,nan,0
1.2954,0.1,120.0,476040.0,10116.4,476147.48046058166,1.2174182675233232,0.249948,5.24937e-07,nan,nan,nan,nan,nan,nan,0
1.3162,0.1,150.0,495112.0,-26561.2,495823.95050001366,-3.070794539650427,0.24995,5.04109e-07,nan,nan,nan,nan,nan,nan,0
1.3356,0.1,200.0,477337.0,45634.2,479513.39061452704,5.460973666304313,0.249948,5.21253e-07,nan,nan,nan,nan,nan,nan,0
1.3542,0.1,250.0,455851.0,85736.3,463843.5591217043,10.65173588648841,0.249947,5.38861e-07,nan,nan,nan,nan,nan,nan,0
1.3724,0.1,300.0,460528.0,89937.2,469227.8111193325,11.050297554198174,0.249948,5.32679e-07,nan,nan,nan,nan,nan,nan,0
1.3899,0.1,400.0,454380.0,113873.0,468431.68608560204,14.069231523582951,0.249948,5.33585e-07,nan,nan,nan,nan,nan,nan,0
1.4061,0.1,500.0,440003.0,146209.0,463659.0468113396,18.38117853128401,0.249949,5.39079e-07,nan,nan,nan,nan,nan,nan,0
1.4220,0.1,600.0,418146.0,167080.0,450290.79905767564,21.780333135251162,0.249948,5.55082e-07,nan,nan,nan,nan,nan,nan,0
1.4377,0.1,750.0,387467.0,184620.0,429203.00615093554,25.476832488993395,0.249947,5.82353e-07,nan,nan,nan,nan,nan,nan,0
1.4528,0.1,1000.0,338439.0,231798.0,410208.81210061786,34.40737356565088,0.24995,6.09322e-07,nan,nan,nan,nan,nan,nan,0
1.4677,0.1,1200.0,298050.0,247869.0,387650.41424071766,39.74811722026304,0.24995,6.44783e-07,nan,nan,nan,nan,nan,nan,0
1.4825,0.1,1500.0,241532.0,258198.0,353558.9261042634,46.91010681763758,0.249952,7.06959e-07,nan,nan,nan,nan,nan,nan,0
1.4971,0.1,2000.0,176571.0,251256.0,307094.27799455984,54.90223997871221,0.249953,8.1393e-07,nan,nan,nan,nan,nan,nan,0
1.5117,0.1,2500.0,127314.0,235137.0,267391.59179936827,61.56684523538915,0.249955,9.34791e-07,nan,nan,nan,nan,nan,nan,0
1.5263,0.1,3000.0,94447.8,215904.0,235658.4904917283,66.37289427692225,0.249957,1.06068e-06,nan,nan,nan,nan,nan,nan,0
1.5409,0.1,4000.0,55042.5,178446.0,186742.20659039562,72.85737778438127,0.249961,1.33853e-06,nan,nan,nan,nan,nan,nan,0
1.5553,0.1,5000.0,36965.2,152514.0,156929.74927348862,76.37580504757028,0.249962,1.59283e-06,nan,nan,nan,nan,nan,nan,0
1.5699,0.1,6000.0,24558.7,132687.0,134940.6155117502,79.51393659041845,0.249966,1.85242e-06,nan,nan,nan,nan,nan,nan,0
1.5844,0.1,7500.0,15232.0,108504.0,109567.93253502596,82.00892889948132,0.249968,2.2814e-06,nan,nan,nan,nan,nan,nan,0
1.5987,0.1,10000.0,9652.52,83525.1,84080.99352624468,83.40789545405458,0.249966,2.97292e-06,nan,nan,nan,nan,nan,nan,0
1.6129,0.1,12000.0,6418.47,70333.5,70625.76002699652,84.78576438757712,0.249968,3.53932e-06,nan,nan,nan,nan,nan,nan,0
1.6271,0.1,15000.0,4269.15,56787.1,56947.34733183364,85.70069577658899,0.249967,4.38944e-06,nan,nan,nan,nan,nan,nan,0
