Tiempo (s)	Setpoint (K)	Temperatura (K)	dT/dt (K/min)	Potencia_LS (%)	Rrem1 (Ohm)	std Rrem1 (Ohm)	Rrem2 (Ohm)		std Rrem2 (Ohm)	V4W (V)	
38.173183E+0	298.470000E+0	298.470000E+0	NaN	3.000000E+0	1.008079E+6	1.008079E+6	1.575307E+3	1.575307E+3	986.829000E-3	
43.637496E+0	298.470000E+0	298.470000E+0	NaN	5.000000E+0	1.110937E+6	1.110937E+6	203.800354E+3	203.800354E+3	990.323000E-3	
49.623838E+0	298.652144E+0	298.470000E+0	NaN	5.000000E+0	2.568458E+6	2.568458E+6	483.763754E+3	483.763754E+3	1.015440E+0	
55.100152E+0	298.851688E+0	298.470000E+0	NaN	6.000000E+0	911.583043E+3	911.583043E+3	164.533838E+3	164.533838E+3	997.992000E-3	
60.584466E+0	299.000000E+0	298.470000E+0	NaN	9.000000E+0	738.316186E+3	738.316186E+3	136.648292E+3	136.648292E+3	992.452000E-3	
66.055779E+0	299.000000E+0	298.470000E+0	NaN	11.000000E+0	953.654472E+3	953.654472E+3	182.957856E+3	182.957856E+3	1.001547E+0	
71.562093E+0	299.000000E+0	298.470000E+0	NaN	8.000000E+0	1.045691E+6	1.045691E+6	191.387517E+3	191.387517E+3	988.628000E-3	
77.059408E+0	299.000000E+0	298.470000E+0	0.000000E+0	8.000000E+0	1.222173E+6	1.222173E+6	226.597520E+3	226.597520E+3	988.628000E-3	
82.542721E+0	299.000000E+0	298.470000E+0	0.000000E+0	10.000000E+0	909.297996E+3	909.297996E+3	165.349268E+3	165.349268E+3	996.336000E-3	
88.028035E+0	299.000000E+0	298.470000E+0	0.000000E+0	10.000000E+0	889.277489E+3	889.277489E+3	161.875861E+3	161.875861E+3	1.000037E+0	
93.504348E+0	299.000000E+0	298.470000E+0	0.000000E+0	10.000000E+0	1.497559E+6	1.497559E+6	271.881854E+3	271.881854E+3	1.010493E+0	
98.971661E+0	299.000000E+0	298.470000E+0	0.000000E+0	11.000000E+0	958.799547E+3	958.799547E+3	175.683013E+3	175.683013E+3	999.491000E-3	
104.439974E+0	299.000000E+0	298.470000E+0	0.000000E+0	11.000000E+0	1.086976E+6	1.086976E+6	208.576216E+3	208.576216E+3	1.005453E+0	
119.291823E+0	298.397723E+0	298.580000E+0	0.000000E+0	12.000000E+0	1.000000E+0	1.000000E+0	0.000000E+0	0.000000E+0	99.100000E+36	
124.565125E+0	298.397723E+0	298.580000E+0	0.000000E+0	7.000000E+0	7.412047E+6	7.412047E+6	1.424435E+6	1.424435E+6	1.010855E+0	
130.044438E+0	298.221946E+0	298.580000E+0	0.000000E+0	9.000000E+0	4.150353E+6	4.150353E+6	796.305257E+3	796.305257E+3	1.012105E+0	
135.518752E+0	298.039302E+0	298.580000E+0	0.000000E+0	5.000000E+0	1.078348E+6	1.078348E+6	196.277990E+3	196.277990E+3	1.003597E+0	
141.002065E+0	297.856825E+0	298.580000E+0	0.000000E+0	6.000000E+0	922.876110E+3	922.876110E+3	168.856926E+3	168.856926E+3	1.009285E+0	
146.479378E+0	297.674048E+0	298.700000E+0	0.000000E+0	2.000000E+0	571.728219E+3	571.728219E+3	105.316193E+3	105.316193E+3	987.529000E-3	
151.948691E+0	297.491471E+0	298.700000E+0	0.000000E+0	2.000000E+0	1.126330E+6	1.126330E+6	209.165194E+3	209.165194E+3	994.504000E-3	
157.415004E+0	297.309161E+0	298.810000E+0	219.065509E-3	2.000000E+0	798.348250E+3	798.348250E+3	150.973709E+3	150.973709E+3	999.053000E-3	
162.886317E+0	297.126950E+0	298.810000E+0	437.691979E-3	2.000000E+0	1.049083E+6	1.049083E+6	193.724966E+3	193.724966E+3	984.795000E-3	
168.363630E+0	296.944573E+0	298.810000E+0	637.626015E-3	1.000000E+0	833.805411E+3	833.805411E+3	156.704399E+3	156.704399E+3	991.453000E-3	
173.833943E+0	296.761996E+0	298.810000E+0	618.913345E-3	1.000000E+0	16.050200E+6	16.050200E+6	3.127229E+6	3.127229E+6	1.002656E+0	
179.318256E+0	296.579652E+0	298.810000E+0	400.286875E-3	1.000000E+0	896.648564E+3	896.648564E+3	171.928387E+3	171.928387E+3	974.119000E-3	
184.792570E+0	296.396842E+0	298.810000E+0	200.352839E-3	1.000000E+0	1.033759E+6	1.033759E+6	200.243965E+3	200.243965E+3	1.000007E+0	
190.273883E+0	296.214365E+0	298.810000E+0	0.000000E+0	1.000000E+0	978.413558E+3	978.413558E+3	189.115829E+3	189.115829E+3	1.000467E+0	
195.748196E+0	296.031654E+0	298.810000E+0	0.000000E+0	1.000000E+0	724.353826E+3	724.353826E+3	139.835900E+3	139.835900E+3	984.788000E-3	
201.223509E+0	295.849177E+0	298.810000E+0	0.000000E+0	1.000000E+0	2.287964E+6	2.287964E+6	429.296579E+3	429.296579E+3	997.255000E-3	
206.707823E+0	295.666667E+0	298.810000E+0	0.000000E+0	1.000000E+0	45.371850E+6	45.371850E+6	8.718382E+6	8.718382E+6	1.000903E+0	
212.177136E+0	295.483856E+0	298.810000E+0	0.000000E+0	1.000000E+0	875.760988E+3	875.760988E+3	159.699740E+3	159.699740E+3	995.460000E-3	
217.676451E+0	295.301546E+0	298.810000E+0	0.000000E+0	1.000000E+0	1.497044E+6	1.497044E+6	270.818608E+3	270.818608E+3	1.012406E+0	
223.161764E+0	295.118235E+0	298.700000E+0	0.000000E+0	1.000000E+0	1.044371E+6	1.044371E+6	193.987580E+3	193.987580E+3	1.000612E+0	
228.654078E+0	294.935392E+0	298.700000E+0	0.000000E+0	1.000000E+0	5.301423E+6	5.301423E+6	1.035399E+6	1.035399E+6	990.889000E-3	
234.131392E+0	294.752314E+0	298.700000E+0	-200.975173E-3	1.000000E+0	110.711700E+6	110.711700E+6	21.405574E+6	21.405574E+6	1.003048E+0	
239.565702E+0	294.569737E+0	298.700000E+0	-402.152508E-3	1.000000E+0	899.377290E+3	899.377290E+3	166.574093E+3	166.574093E+3	989.342000E-3	
244.982012E+0	294.388594E+0	298.700000E+0	-402.152508E-3	1.000000E+0	2.309017E+6	2.309017E+6	441.865495E+3	441.865495E+3	1.003568E+0	
250.404323E+0	294.208050E+0	298.700000E+0	-201.177335E-3	1.000000E+0	3.803170E+6	3.803170E+6	716.401232E+3	716.401232E+3	1.000576E+0	
255.881636E+0	294.027306E+0	298.700000E+0	0.000000E+0	1.000000E+0	864.707465E+3	864.707465E+3	165.210429E+3	165.210429E+3	996.290000E-3	
261.310946E+0	293.844729E+0	298.700000E+0	0.000000E+0	1.000000E+0	14.755310E+6	14.755310E+6	2.711194E+6	2.711194E+6	1.015608E+0	
266.723256E+0	293.663752E+0	298.580000E+0	0.000000E+0	1.000000E+0	1.721545E+6	1.721545E+6	322.663142E+3	322.663142E+3	983.484000E-3	
272.138566E+0	293.483342E+0	298.580000E+0	0.000000E+0	1.000000E+0	729.192565E+3	729.192565E+3	131.916236E+3	131.916236E+3	999.548000E-3	
277.574876E+0	293.302832E+0	298.580000E+0	-219.065519E-3	1.000000E+0	612.322249E+3	612.322249E+3	115.852471E+3	115.852471E+3	999.861000E-3	
282.984186E+0	293.121621E+0	298.580000E+0	-438.251088E-3	1.000000E+0	1.088610E+6	1.088610E+6	208.853707E+3	208.853707E+3	999.442000E-3	
288.397495E+0	292.941311E+0	298.580000E+0	-438.251088E-3	1.000000E+0	993.357221E+3	993.357221E+3	177.392182E+3	177.392182E+3	1.003559E+0	
293.806805E+0	292.760867E+0	298.580000E+0	-219.185569E-3	1.000000E+0	994.647031E+3	994.647031E+3	190.672933E+3	190.672933E+3	991.494000E-3	
299.220115E+0	292.580557E+0	298.580000E+0	0.000000E+0	1.000000E+0	889.949834E+3	889.949834E+3	172.279999E+3	172.279999E+3	995.222000E-3	
304.646425E+0	292.400113E+0	298.580000E+0	0.000000E+0	1.000000E+0	907.245748E+3	907.245748E+3	169.035901E+3	169.035901E+3	982.529000E-3	
310.100737E+0	292.219236E+0	298.580000E+0	0.000000E+0	1.000000E+0	3.551606E+6	3.551606E+6	653.317071E+3	653.317071E+3	997.362000E-3	
315.542048E+0	292.037426E+0	298.580000E+0	0.000000E+0	1.000000E+0	1.218708E+6	1.218708E+6	223.247537E+3	223.247537E+3	1.003326E+0	
