Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Tiempo de Pulso (s),Vcc (V),Vrange,NPLC,Ch2?
0.0091,0.01,nan,2.3479226,234792.25999999998,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0162,0.01,nan,2.3689297,236892.96999999997,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0234,0.01,nan,2.3791121,237911.20999999996,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0305,0.01,nan,2.3854824,238548.23999999996,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0377,0.01,nan,2.3901204,239012.03999999995,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0448,0.01,nan,2.3942635,239426.34999999998,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0519,0.01,nan,2.3979513,239795.12999999998,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0591,0.01,nan,2.4011629,240116.28999999998,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0662,0.01,nan,2.404062,240406.19999999998,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0734,0.01,nan,2.4073055,240730.55,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0805,0.01,nan,2.4102058,241020.58,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0876,0.01,nan,2.4116268,241162.68,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.1012,0.01,0.001,2.4116268,241162.68,278977.1,0.2789771,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.1183,0.01,0.001,2.4116268,241162.68,270235.50000000006,0.2702355,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.1354,0.01,0.001,2.4116268,241162.68,267932.50000000006,0.2679325,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.1525,0.01,0.001,2.4116268,241162.68,266596.10000000003,0.2665961,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.1696,0.01,0.001,2.4116268,241162.68,266005.5,0.2660055,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.1867,0.01,0.001,2.4116268,241162.68,266953.60000000003,0.2669536,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
