Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Tiempo de Pulso (s),Vcc (V),Vrange,NPLC,Ch2?
0.0085,0.02,nan,5.6489327,282446.63499999995,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0156,0.02,nan,5.7093551,285467.75499999995,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0228,0.02,nan,5.7349408,286747.04,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0300,0.02,nan,5.7586205,287931.02499999997,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0371,0.02,nan,5.7759894,288799.47,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0443,0.02,nan,5.7952554,289762.77,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0514,0.02,nan,5.8092938,290464.68999999994,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0585,0.02,nan,5.8212756,291063.77999999997,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0657,0.02,nan,5.8341118,291705.58999999997,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0728,0.02,nan,5.8427313,292136.56499999994,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0799,0.02,nan,5.8468195,292340.975,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0870,0.02,nan,5.8543358,292716.79,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0941,0.02,nan,5.8638814,293194.07,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1013,0.02,nan,5.8681543,293407.71499999997,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1084,0.02,nan,5.8701747,293508.735,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1155,0.02,nan,5.8740937,293704.685,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1227,0.02,nan,5.8757644,293788.22,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1298,0.02,nan,5.8819708,294098.54,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1369,0.02,nan,5.8841595,294207.975,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1441,0.02,nan,5.8850955,294254.77499999997,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1512,0.02,nan,5.8853452,294267.25999999995,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1583,0.02,nan,5.8860029,294300.14499999996,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1655,0.02,nan,5.8851197,294255.985,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1727,0.02,nan,5.8885259,294426.295,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1798,0.02,nan,5.8929407,294647.035,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1869,0.02,nan,5.8902681,294513.40499999997,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1940,0.02,nan,5.8891352,294456.76,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
