Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Tiempo de Pulso (s),Vcc (V),Vrange,NPLC,Ch2?
0.0086,-0.03,nan,-7.091583,236386.1,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0157,-0.03,nan,-7.1978246,239927.48666666666,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0228,-0.03,nan,-7.295938,243197.93333333332,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0299,-0.03,nan,-7.3986082,246620.27333333332,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0371,-0.03,nan,-7.5041568,250138.55999999997,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0442,-0.03,nan,-7.6011463,253371.54333333333,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0513,-0.03,nan,-7.6974067,256580.22333333333,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0584,-0.03,nan,-7.7878797,259595.99000000002,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0656,-0.03,nan,-7.87555,262518.3333333333,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0727,-0.03,nan,-7.9603426,265344.7533333333,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0798,-0.03,nan,-8.040256,268008.5333333333,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0870,-0.03,nan,-8.1199063,270663.54333333333,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0941,-0.03,nan,-8.2058501,273528.3366666666,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1012,-0.03,nan,-8.292303,276410.10000000003,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1083,-0.03,nan,-8.372231,279074.36666666664,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1154,-0.03,nan,-8.4486564,281621.88,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1226,-0.03,nan,-8.5329373,284431.24333333335,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
