Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Tiempo de Pulso (s),Vcc (V),Vrange,NPLC,Ch2?
0.0091,0.01,nan,2.3190077,231900.76999999996,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0162,0.01,nan,2.342639,234263.9,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0233,0.01,nan,2.3546328,235463.28,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0305,0.01,nan,2.3632578,236325.77999999997,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0377,0.01,nan,2.3696138,236961.38,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0449,0.01,nan,2.3741803,237418.02999999997,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0520,0.01,nan,2.3783092,237830.91999999998,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0591,0.01,nan,2.3816076,238160.76,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0662,0.01,nan,2.3848653,238486.52999999997,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0734,0.01,nan,2.3881022,238810.22,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0805,0.01,nan,2.3907231,239072.31,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0877,0.01,nan,2.3925016,239250.16,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.1016,0.01,0.001,2.3925016,239250.16,272703.6,0.2727036,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.1190,0.01,0.001,2.3925016,239250.16,264729.7,0.2647297,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.1363,0.01,0.001,2.3925016,239250.16,262589.39999999997,0.2625894,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.1537,0.01,0.001,2.3925016,239250.16,261550.1,0.2615501,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.1710,0.01,0.001,2.3925016,239250.16,260665.80000000002,0.2606658,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.1883,0.01,0.001,2.3925016,239250.16,260134.6,0.2601346,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.2056,0.01,0.001,2.3925016,239250.16,259783.7,0.2597837,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.2229,0.01,0.001,2.3925016,239250.16,259659.4,0.2596594,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.2403,0.01,0.001,2.3925016,239250.16,259716.60000000003,0.2597166,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.2576,0.01,0.001,2.3925016,239250.16,259421.9,0.2594219,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.2750,0.01,0.001,2.3925016,239250.16,259168.9,0.2591689,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.2923,0.01,0.001,2.3925016,239250.16,258826.80000000005,0.2588268,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.3097,0.01,0.001,2.3925016,239250.16,259077.60000000003,0.2590776,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.3270,0.01,0.001,2.3925016,239250.16,259514.19999999998,0.2595142,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.3443,0.01,0.001,2.3925016,239250.16,259714.40000000002,0.2597144,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.3616,0.01,0.001,2.3925016,239250.16,259974.0,0.259974,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.3789,0.01,0.001,2.3925016,239250.16,259608.8,0.2596088,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.3962,0.01,0.001,2.3925016,239250.16,260619.6,0.2606196,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.4136,0.01,0.001,2.3925016,239250.16,260223.6,0.2602236,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.4309,0.01,0.001,2.3925016,239250.16,258658.60000000003,0.2586586,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.4482,0.01,0.001,2.3925016,239250.16,259083.10000000003,0.2590831,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.4656,0.01,0.001,2.3925016,239250.16,258939.0,0.258939,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.4829,0.01,0.001,2.3925016,239250.16,258841.1,0.2588411,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.5003,0.01,0.001,2.3925016,239250.16,258933.5,0.2589335,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.5177,0.01,0.001,2.3925016,239250.16,258924.7,0.2589247,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.5350,0.01,0.001,2.3925016,239250.16,259950.9,0.2599509,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.5523,0.01,0.001,2.3925016,239250.16,260468.90000000002,0.2604689,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.5697,0.01,0.001,2.3925016,239250.16,260240.09999999998,0.2602401,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.5870,0.01,0.001,2.3925016,239250.16,259600.0,0.2596,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.6044,0.01,0.001,2.3925016,239250.16,260394.10000000003,0.2603941,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.6217,0.01,0.001,2.3925016,239250.16,260497.5,0.2604975,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.6390,0.01,0.001,2.3925016,239250.16,260472.2,0.2604722,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.6563,0.01,0.001,2.3925016,239250.16,260688.90000000002,0.2606889,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.6737,0.01,0.001,2.3925016,239250.16,260600.90000000002,0.2606009,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.6910,0.01,0.001,2.3925016,239250.16,260549.19999999998,0.2605492,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.7084,0.01,0.001,2.3925016,239250.16,260604.2,0.2606042,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.7257,0.01,0.001,2.3925016,239250.16,260584.4,0.2605844,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.7430,0.01,0.001,2.3925016,239250.16,260495.3,0.2604953,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.7603,0.01,0.001,2.3925016,239250.16,260556.9,0.2605569,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.7776,0.01,0.001,2.3925016,239250.16,260529.40000000002,0.2605294,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.7949,0.01,0.001,2.3925016,239250.16,260783.5,0.2607835,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.8123,0.01,0.001,2.3925016,239250.16,260845.1,0.2608451,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.8296,0.01,0.001,2.3925016,239250.16,260705.4,0.2607054,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.8469,0.01,0.001,2.3925016,239250.16,260795.60000000003,0.2607956,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.8642,0.01,0.001,2.3925016,239250.16,260501.90000000002,0.2605019,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.8815,0.01,0.001,2.3925016,239250.16,260328.1,0.2603281,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.8988,0.01,0.001,2.3925016,239250.16,260018.00000000003,0.260018,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.9161,0.01,0.001,2.3925016,239250.16,259690.19999999998,0.2596902,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.9334,0.01,0.001,2.3925016,239250.16,259850.80000000002,0.2598508,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.9506,0.01,0.001,2.3925016,239250.16,260285.2,0.2602852,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.9679,0.01,0.001,2.3925016,239250.16,260057.6,0.2600576,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
