Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Tiempo de Pulso (s),Vcc (V),Vrange,NPLC,Ch2?
0.0091,0.01,nan,2.3645391,236453.90999999997,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0162,0.01,nan,2.3828999,238289.99,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0234,0.01,nan,2.3919879,239198.79,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0305,0.01,nan,2.3983374,239833.73999999996,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0376,0.01,nan,2.4031481,240314.81,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0448,0.01,nan,2.406815,240681.49999999997,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0519,0.01,nan,2.4095404,240954.03999999998,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0590,0.01,nan,2.4131931,241319.30999999997,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0661,0.01,nan,2.4163353,241633.53,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0732,0.01,nan,2.4186714,241867.13999999998,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0803,0.01,nan,2.4204762,242047.61999999997,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.0874,0.01,nan,2.4230455,242304.55,nan,nan,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.1021,0.01,0.001,2.4230455,242304.55,282108.39999999997,0.2821084,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.1251,0.01,0.001,2.4230455,242304.55,273191.9,0.2731919,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.1479,0.01,0.001,2.4230455,242304.55,270540.2,0.2705402,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.1710,0.01,0.001,2.4230455,242304.55,269489.8,0.2694898,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.1938,0.01,0.001,2.4230455,242304.55,268821.1,0.2688211,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.2167,0.01,0.001,2.4230455,242304.55,268282.2,0.2682822,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.2395,0.01,0.001,2.4230455,242304.55,267902.8,0.2679028,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.2624,0.01,0.001,2.4230455,242304.55,267708.10000000003,0.2677081,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.2852,0.01,0.001,2.4230455,242304.55,267725.7,0.2677257,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.3080,0.01,0.001,2.4230455,242304.55,266846.9,0.2668469,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.3308,0.01,0.001,2.4230455,242304.55,267419.9,0.2674199,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.3536,0.01,0.001,2.4230455,242304.55,267202.2,0.2672022,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.3765,0.01,0.001,2.4230455,242304.55,266683.0,0.266683,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.3993,0.01,0.001,2.4230455,242304.55,266157.3,0.2661573,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.4221,0.01,0.001,2.4230455,242304.55,266260.7,0.2662607,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.4448,0.01,0.001,2.4230455,242304.55,266055.0,0.266055,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.4677,0.01,0.001,2.4230455,242304.55,266302.5,0.2663025,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.4905,0.01,0.001,2.4230455,242304.55,266293.7,0.2662937,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.5134,0.01,0.001,2.4230455,242304.55,265975.8,0.2659758,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.5363,0.01,0.001,2.4230455,242304.55,266004.39999999997,0.2660044,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.5591,0.01,0.001,2.4230455,242304.55,266050.60000000003,0.2660506,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.5820,0.01,0.001,2.4230455,242304.55,265897.7,0.2658977,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.6048,0.01,0.001,2.4230455,242304.55,266088.0,0.266088,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.6277,0.01,0.001,2.4230455,242304.55,265936.2,0.2659362,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.6504,0.01,0.001,2.4230455,242304.55,265416.0,0.265416,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.6733,0.01,0.001,2.4230455,242304.55,265347.80000000005,0.2653478,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.6960,0.01,0.001,2.4230455,242304.55,265793.30000000005,0.2657933,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.7190,0.01,0.001,2.4230455,242304.55,265254.3,0.2652543,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
0.7417,0.01,0.001,2.4230455,242304.55,265775.7,0.2657757,nan,nan,nan,nan,5.0,20.0,10 V,10.0,False
