Tiempo (min),I pulso (mA),I bias (mA),Vinst 1 (V),Rinst 1 (Ohm),Rrem 1 (Ohm),Vbias 1 (V),Vinst 2 (V),Rinst 2 (Ohm),Rrem 2 (Ohm),Vbias 2 (V),Tiempo de Pulso (s),Vcc (V),Vrange,NPLC,Ch2?
0.0091,0.01,nan,2.3899785,238997.84999999995,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0163,0.01,nan,2.4060407,240604.07,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0234,0.01,nan,2.4156028,241560.27999999997,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0305,0.01,nan,2.4211801,242118.00999999998,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0377,0.01,nan,2.4252804,242528.03999999998,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0448,0.01,nan,2.4289308,242893.07999999996,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0520,0.01,nan,2.4323876,243238.76,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0591,0.01,nan,2.4351064,243510.63999999998,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0663,0.01,nan,2.4384554,243845.53999999998,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0734,0.01,nan,2.441183,244118.3,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0805,0.01,nan,2.4434795,244347.94999999998,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0876,0.01,nan,2.4461741,244617.40999999997,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.0948,0.01,nan,2.4480989,244809.88999999998,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1020,0.01,nan,2.4506703,245067.03,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1091,0.01,nan,2.4524037,245240.37,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1162,0.01,nan,2.4550345,245503.44999999998,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1233,0.01,nan,2.4566018,245660.18,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1305,0.01,nan,2.457893,245789.29999999996,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1376,0.01,nan,2.4596021,245960.21,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1447,0.01,nan,2.4611826,246118.25999999998,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1518,0.01,nan,2.463544,246354.4,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1590,0.01,nan,2.4655842,246558.41999999995,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1661,0.01,nan,2.4674418,246744.18,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1732,0.01,nan,2.4692456,246924.55999999997,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1804,0.01,nan,2.4704389,247043.88999999998,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1876,0.01,nan,2.4721954,247219.53999999998,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.1947,0.01,nan,2.4730994,247309.94,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2018,0.01,nan,2.4745424,247454.23999999996,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2090,0.01,nan,2.4762747,247627.46999999997,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2161,0.01,nan,2.477402,247740.19999999998,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2232,0.01,nan,2.478393,247839.3,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
0.2304,0.01,nan,2.4795797,247957.96999999997,nan,nan,nan,nan,nan,nan,30.0,20.0,10 V,10.0,False
