Tiempo (s)	Setpoint (K)	Temperatura (K)	dT/dt (K/min)	Potencia_LS (%)	Rrem1 (Ohm)	std Rrem1 (Ohm)	Rrem2 (Ohm)		std Rrem2 (Ohm)	V4W (V)	
26.838535E+0	260.651355E+0	260.560000E+0	0.000000E+0	27.000000E+0	2.088080E+6	2.088080E+6	286.102934E+3	286.102934E+3	1.000086E+0	
32.313848E+0	260.651355E+0	260.640000E+0	0.000000E+0	41.000000E+0	2.304755E+6	2.304755E+6	615.383729E+3	615.383729E+3	1.000033E+0	
37.755160E+0	260.742610E+0	260.640000E+0	0.000000E+0	43.000000E+0	2.260171E+6	2.260171E+6	584.055924E+3	584.055924E+3	999.877000E-3	
43.209472E+0	260.833299E+0	260.640000E+0	0.000000E+0	41.000000E+0	2.104189E+6	2.104189E+6	547.010704E+3	547.010704E+3	1.000605E+0	
48.686785E+0	260.924204E+0	260.640000E+0	0.000000E+0	45.000000E+0	2.194046E+6	2.194046E+6	567.007945E+3	567.007945E+3	999.695000E-3	
54.172099E+0	261.015493E+0	260.640000E+0	0.000000E+0	50.000000E+0	2.352881E+6	2.352881E+6	642.812272E+3	642.812272E+3	1.000045E+0	
59.676414E+0	261.106915E+0	260.640000E+0	0.000000E+0	47.000000E+0	2.111054E+6	2.111054E+6	558.665133E+3	558.665133E+3	999.964000E-3	
65.151727E+0	261.198653E+0	260.740000E+0	0.000000E+0	50.000000E+0	2.261287E+6	2.261287E+6	638.237356E+3	638.237356E+3	999.760000E-3	
70.610039E+0	261.289908E+0	260.740000E+0	0.000000E+0	52.000000E+0	2.253643E+6	2.253643E+6	617.062177E+3	617.062177E+3	1.000009E+0	
76.080352E+0	261.380880E+0	260.840000E+0	181.758215E-3	54.000000E+0	2.206087E+6	2.206087E+6	573.007170E+3	573.007170E+3	999.909000E-3	
81.542664E+0	261.472052E+0	260.840000E+0	363.897160E-3	57.000000E+0	2.354382E+6	2.354382E+6	618.121319E+3	618.121319E+3	999.435000E-3	
87.044979E+0	261.563091E+0	260.930000E+0	546.235379E-3	55.000000E+0	2.154208E+6	2.154208E+6	601.509308E+3	601.509308E+3	999.811000E-3	
92.517292E+0	261.654796E+0	261.030000E+0	546.931831E-3	58.000000E+0	2.324164E+6	2.324164E+6	615.354303E+3	615.354303E+3	999.716000E-3	
97.984605E+0	261.746001E+0	261.210000E+0	529.272192E-3	60.000000E+0	2.108042E+6	2.108042E+6	583.613986E+3	583.613986E+3	1.000245E+0	
103.449917E+0	261.837123E+0	261.310000E+0	694.422096E-3	58.000000E+0	2.249224E+6	2.249224E+6	584.159919E+3	584.159919E+3	1.000005E+0	
108.930231E+0	261.928212E+0	261.410000E+0	419.859860E-3	59.000000E+0	2.348391E+6	2.348391E+6	641.818566E+3	641.818566E+3	999.757000E-3	
114.397543E+0	262.019550E+0	261.500000E+0	163.567475E-3	57.000000E+0	2.149973E+6	2.149973E+6	596.146319E+3	596.146319E+3	999.759000E-3	
119.900858E+0	262.110672E+0	261.590000E+0	188.081884E-3	58.000000E+0	2.182894E+6	2.182894E+6	544.598105E+3	544.598105E+3	999.940000E-3	
125.365170E+0	262.202394E+0	261.780000E+0	627.106518E-3	56.000000E+0	2.231508E+6	2.231508E+6	638.990027E+3	638.990027E+3	1.000229E+0	
130.828483E+0	262.293466E+0	261.880000E+0	1.047458E+0	54.000000E+0	2.143278E+6	2.143278E+6	560.475109E+3	560.475109E+3	1.000118E+0	
