Tiempo (min)	T (K) 	I pulso(mA)	Vinst 1 (V)	Iinst 1 (mA)	Rinst 1(Ohm)	Rinst 2 (Ohm)	Rrem 1 (Ohm)	Rrem 2 (Ohm)	Ibias 1 (mA)	Vbias 1 (V)	Ancho pulso (s)	Periodo (s)	Icc 1 (mA)	Vcc 1 (V)	Icc 2 (mA)	Vcc 2 (V)	Vp 4W (V)	Vb 4W (V)	N
1.905109E-2	2.656200E+2	1.000000E+1	1.048700E-2	-8.680000E-6	-1.208180E+6	-3.693894E+6	1.926839E+6	2.916012E+5	5.192400E-4	1.000492E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	3.206300E-2	1.514110E-1	1.000000E+0
5.743662E-2	2.656200E+2	-2.500000E+1	-2.507110E-2	9.450000E-6	-2.653026E+6	-2.369524E+6	2.118721E+6	5.945560E+5	4.722600E-4	1.000587E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-2.239200E-2	2.807850E-1	2.000000E+0
9.597216E-2	2.656200E+2	-5.000000E+1	-5.007620E-2	-6.760000E-6	7.407722E+6	2.034497E+6	2.342333E+6	7.153459E+5	4.267600E-4	9.996140E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-1.375320E-2	3.052810E-1	3.000000E+0
1.343410E-1	2.656200E+2	-7.500000E+1	-7.511970E-2	-3.333000E-5	2.253816E+6	2.167537E+5	2.152862E+6	6.279893E+5	4.645700E-4	1.000155E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-7.224400E-3	2.917450E-1	4.000000E+0
1.724599E-1	2.656200E+2	-1.000000E+2	-1.000215E-1	-6.055000E-5	1.651883E+6	1.842626E+5	2.128413E+6	5.442806E+5	4.700700E-4	1.000503E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-1.115710E-2	2.558500E-1	5.000000E+0
2.106954E-1	2.656200E+2	-1.250000E+2	-1.248661E-1	-7.584000E-5	1.646441E+6	6.073972E+4	2.119189E+6	5.352997E+5	4.719300E-4	1.000109E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-4.606500E-3	2.526240E-1	6.000000E+0
2.488476E-1	2.656200E+2	-1.500000E+2	-1.501795E-1	-8.555000E-5	1.755459E+6	1.165587E+5	2.295869E+6	7.018808E+5	4.354500E-4	9.997360E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-9.971600E-3	3.056340E-1	7.000000E+0
2.867664E-1	2.656200E+2	-1.750000E+2	-1.753169E-1	-7.941000E-5	2.207743E+6	4.801360E+5	2.264259E+6	6.895525E+5	4.415400E-4	9.997610E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-3.812760E-2	3.044650E-1	8.000000E+0
3.249853E-1	2.656200E+2	-2.000000E+2	-2.003298E-1	-7.734000E-5	2.590248E+6	9.651319E+5	2.184163E+6	5.868725E+5	4.577400E-4	9.997790E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-7.464330E-2	2.686350E-1	9.000000E+0
3.636541E-1	2.656200E+2	-2.250000E+2	-2.250100E-1	-1.117000E-4	2.014414E+6	3.263295E+5	2.294093E+6	7.007848E+5	4.357800E-4	9.997200E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-3.645100E-2	3.053880E-1	1.000000E+1
4.020230E-1	2.656200E+2	-2.500000E+2	-2.501310E-1	-1.120300E-4	2.232714E+6	5.024726E+5	2.173741E+6	6.333370E+5	4.599100E-4	9.997250E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-5.629200E-2	2.912780E-1	1.100000E+1
4.407085E-1	2.656200E+2	-2.750000E+2	-2.749470E-1	-1.310100E-4	2.098672E+6	4.900389E+5	2.083410E+6	5.254053E+5	4.799400E-4	9.999120E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-6.420000E-2	2.521630E-1	1.200000E+1
4.791607E-1	2.656200E+2	-3.000000E+2	-3.000790E-1	-1.546700E-4	1.940124E+6	3.267667E+5	2.262674E+6	6.663620E+5	4.420300E-4	1.000170E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-5.054100E-2	2.945520E-1	1.300000E+1
5.175296E-1	2.656200E+2	-3.250000E+2	-3.249690E-1	-1.507100E-4	2.156254E+6	5.323734E+5	2.187187E+6	6.437552E+5	4.571800E-4	9.999380E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-8.023400E-2	2.943120E-1	1.400000E+1
5.559318E-1	2.656200E+2	-3.500000E+2	-3.501020E-1	-1.355000E-4	2.583779E+6	8.376015E+5	2.082094E+6	5.312112E+5	4.800200E-4	9.994470E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-1.134950E-1	2.549920E-1	1.500000E+1
5.942340E-1	2.656200E+2	-3.750000E+2	-3.754990E-1	-1.922300E-4	1.953384E+6	4.654945E+5	2.112024E+6	5.351961E+5	4.733200E-4	9.996630E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-8.948200E-2	2.533190E-1	1.600000E+1
6.326695E-1	2.656200E+2	-4.000000E+2	-3.999140E-1	-2.037300E-4	1.962961E+6	3.880479E+5	2.293816E+6	6.962404E+5	4.359500E-4	9.999890E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-7.905700E-2	3.035260E-1	1.700000E+1
6.711051E-1	2.656200E+2	-4.250000E+2	-4.249710E-1	-1.776800E-4	2.391777E+6	7.711785E+5	2.068466E+6	5.485804E+5	4.835700E-4	1.000248E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-1.370230E-1	2.652770E-1	1.800000E+1
7.095239E-1	2.656200E+2	-4.500000E+2	-4.500070E-1	-2.258100E-4	1.992857E+6	4.315398E+5	2.118475E+6	5.746935E+5	4.722100E-4	1.000365E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-9.744600E-2	2.713760E-1	1.900000E+1
7.479928E-1	2.656200E+2	-4.750000E+2	-4.749070E-1	-1.989200E-4	2.387427E+6	6.632465E+5	2.167071E+6	5.956961E+5	4.612100E-4	9.994750E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-1.319330E-1	2.747410E-1	2.000000E+1
7.865117E-1	2.656200E+2	-5.000000E+2	-5.000780E-1	-2.547400E-4	1.963092E+6	4.234160E+5	2.231355E+6	6.521208E+5	4.481900E-4	1.000071E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-1.078610E-1	2.922740E-1	2.100000E+1
8.250639E-1	2.656200E+2	-5.250000E+2	-5.249020E-1	-2.219600E-4	2.364850E+6	7.381465E+5	2.122173E+6	5.481388E+5	4.712000E-4	9.999680E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-1.638390E-1	2.582830E-1	2.200000E+1
8.634494E-1	2.656200E+2	-5.500000E+2	-5.502220E-1	-2.581100E-4	2.131735E+6	4.843904E+5	2.261487E+6	6.916646E+5	4.422100E-4	1.000052E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-1.250260E-1	3.058610E-1	2.300000E+1
9.025516E-1	2.656200E+2	-5.750000E+2	-5.751640E-1	-2.501100E-4	2.299644E+6	7.118588E+5	2.124944E+6	5.689878E+5	4.704600E-4	9.997010E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-1.780430E-1	2.676860E-1	2.400000E+1
9.410205E-1	2.656200E+2	-6.000000E+2	-5.999800E-1	-2.897900E-4	2.070396E+6	4.608924E+5	2.252642E+6	6.712703E+5	4.440000E-4	1.000173E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-1.335620E-1	2.980440E-1	2.500000E+1
9.796894E-1	2.656200E+2	-6.250000E+2	-6.246790E-1	-2.645700E-4	2.361110E+6	7.214083E+5	2.307210E+6	7.019312E+5	4.334000E-4	9.999450E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-1.908630E-1	3.042170E-1	2.600000E+1
1.018108E+0	2.656200E+2	-6.500000E+2	-6.502250E-1	-2.877900E-4	2.259373E+6	6.288092E+5	2.105777E+6	5.332673E+5	4.747900E-4	9.998020E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-1.809650E-1	2.531900E-1	2.700000E+1
1.056560E+0	2.656200E+2	-6.750000E+2	-6.750820E-1	-3.280400E-4	2.057926E+6	4.677509E+5	2.348276E+6	6.870267E+5	4.254900E-4	9.991680E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-1.534410E-1	2.923230E-1	2.800000E+1
1.095629E+0	2.656200E+2	-7.000000E+2	-6.998080E-1	-2.949500E-4	2.372633E+6	7.023868E+5	2.185656E+6	6.359240E+5	4.574100E-4	9.997410E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-2.071690E-1	2.908780E-1	2.900000E+1
1.134148E+0	2.656200E+2	-7.250000E+2	-7.248730E-1	-3.448600E-4	2.101934E+6	4.812823E+5	2.248705E+6	6.810266E+5	4.447800E-4	1.000179E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-1.659750E-1	3.029070E-1	3.000000E+1
1.172750E+0	2.656200E+2	-7.500000E+2	-7.500680E-1	-3.339600E-4	2.245982E+6	6.572584E+5	2.147993E+6	5.809910E+5	4.655700E-4	1.000041E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-2.194980E-1	2.704920E-1	3.100000E+1
1.211219E+0	2.656200E+2	-7.750000E+2	-7.746420E-1	-3.261200E-4	2.375328E+6	7.154176E+5	2.140047E+6	6.134690E+5	4.673700E-4	1.000194E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-2.333120E-1	2.867170E-1	3.200000E+1
1.250405E+0	2.656200E+2	-8.000000E+2	-8.002580E-1	-3.693200E-4	2.166842E+6	5.522745E+5	2.290364E+6	6.882432E+5	4.366000E-4	9.999730E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-2.039660E-1	3.004870E-1	3.300000E+1
1.288840E+0	2.656200E+2	-8.250000E+2	-8.250910E-1	-3.689700E-4	2.236201E+6	6.671925E+5	2.141047E+6	5.793642E+5	4.671500E-4	1.000190E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-2.461740E-1	2.706500E-1	3.400000E+1
1.327209E+0	2.656200E+2	-8.500000E+2	-8.505110E-1	-3.974500E-4	2.139919E+6	5.983545E+5	2.147175E+6	5.407731E+5	4.656500E-4	9.998320E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-2.378160E-1	2.518110E-1	3.500000E+1
1.365895E+0	2.656200E+2	-8.750000E+2	-8.751010E-1	-4.110100E-4	2.129148E+6	5.051191E+5	2.168488E+6	5.828231E+5	4.612600E-4	1.000237E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-2.076090E-1	2.688330E-1	3.600000E+1
1.404497E+0	2.656200E+2	-9.000000E+2	-9.002240E-1	-4.061400E-4	2.216536E+6	6.513862E+5	2.104777E+6	5.443706E+5	4.751800E-4	1.000148E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-2.645540E-1	2.586740E-1	3.700000E+1
1.442749E+0	2.656200E+2	-9.250000E+2	-9.250700E-1	-4.323200E-4	2.139781E+6	6.127498E+5	2.077686E+6	5.223452E+5	4.814900E-4	1.000385E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-2.649040E-1	2.515040E-1	3.800000E+1
1.481218E+0	2.656200E+2	-9.500000E+2	-9.496360E-1	-4.527000E-4	2.097716E+6	5.194500E+5	2.247417E+6	6.859531E+5	4.450100E-4	1.000123E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-2.351550E-1	3.052560E-1	3.900000E+1
1.519687E+0	2.656200E+2	-9.750000E+2	-9.750810E-1	-4.351800E-4	2.240638E+6	6.463762E+5	2.096306E+6	5.288356E+5	4.770500E-4	1.000043E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-2.812900E-1	2.522810E-1	4.000000E+1
1.558156E+0	2.656200E+2	-1.000000E+3	-1.000316E+0	-4.774100E-4	2.095298E+6	5.084246E+5	2.290262E+6	6.897352E+5	4.365400E-4	9.997910E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-2.427270E-1	3.010970E-1	4.100000E+1
1.596558E+0	2.656200E+2	-1.025000E+3	-1.025137E+0	-4.484400E-4	2.286007E+6	6.556373E+5	2.202506E+6	6.332306E+5	4.540400E-4	1.000026E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-2.940140E-1	2.875120E-1	4.200000E+1
1.634994E+0	2.656200E+2	-1.050000E+3	-1.050646E+0	-5.085700E-4	2.065883E+6	5.313074E+5	2.144605E+6	5.535717E+5	4.661600E-4	9.997290E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-2.702070E-1	2.580530E-1	4.300000E+1
1.673562E+0	2.656200E+2	-1.075000E+3	-1.075125E+0	-4.824300E-4	2.228562E+6	6.144622E+5	2.123901E+6	5.362987E+5	4.706500E-4	9.996140E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-2.964350E-1	2.524090E-1	4.400000E+1
1.712065E+0	2.656200E+2	-1.100000E+3	-1.100119E+0	-4.886500E-4	2.251343E+6	6.266837E+5	2.219968E+6	6.762217E+5	4.504100E-4	9.998960E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-3.062290E-1	3.045770E-1	4.500000E+1
1.750683E+0	2.656200E+2	-1.125000E+3	-1.125129E+0	-5.283700E-4	2.129434E+6	5.530689E+5	2.300518E+6	7.028255E+5	4.346200E-4	9.998510E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-2.922250E-1	3.054620E-1	4.600000E+1
1.789252E+0	2.656200E+2	-1.150000E+3	-1.150132E+0	-5.395400E-4	2.131690E+6	5.784705E+5	2.253424E+6	6.798161E+5	4.437700E-4	1.000002E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-3.121080E-1	3.016820E-1	4.700000E+1
1.827721E+0	2.657200E+2	-1.175000E+3	-1.175240E+0	-5.392300E-4	2.179478E+6	6.269347E+5	2.072542E+6	5.317743E+5	4.825600E-4	1.000126E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-3.380620E-1	2.566130E-1	4.800000E+1
1.866807E+0	2.657200E+2	-1.200000E+3	-1.200107E+0	-5.503000E-4	2.180823E+6	6.091078E+5	2.212418E+6	6.149371E+5	4.522300E-4	1.000522E+0	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-3.351920E-1	2.780930E-1	4.900000E+1
1.905226E+0	2.656200E+2	-1.225000E+3	-1.224664E+0	-5.787100E-4	2.116196E+6	5.234643E+5	2.233280E+6	6.674954E+5	4.476900E-4	9.998170E-1	1.000000E-2	0.000000E+0	2.000000E-3	2.000000E+0	2.000000E-3	2.000000E+0	-3.029340E-1	2.988310E-1	5.000000E+1
