Tiempo (min),Vdc (V),Freq (Hz),R_ch1 (Ohm),X_ch1 (Ohm),|Z|_ch1 (Ohm),Theta_ch1 (Deg),Vm_ch1 (V),Im_ch1 (A),R_ch2 (Ohm),X_ch2 (Ohm),|Z|_ch2 (Ohm),Theta_ch2 (Deg),Vm_ch2 (V),Im_ch2 (A),Status
0.2362,0.0,20.0,637676.0,-132179.0,651231.1179734888,-11.710566530708443,0.099985,1.53532e-07,338063.0,-22345.6,338800.70514737716,-3.781688201638787,0.0999706,2.95072e-07,0
0.3801,0.0,30.0,820932.0,-41739.8,821992.4327681125,-2.910663438193208,0.0999878,1.21641e-07,394328.0,26725.3,395232.60650418256,3.8772514677645393,0.0999748,2.52951e-07,0
0.4780,0.0,50.0,442257.0,-65646.5,447102.57996487786,-8.443061198054028,0.0999779,2.23613e-07,367005.0,-21936.4,367660.0000951423,-3.420578938783284,0.0999729,2.71916e-07,0
0.5500,0.0,75.0,343261.0,-324298.0,472225.9066643845,-43.37286626959979,0.0999846,2.1173e-07,137031.0,-100857.0,170145.90623932154,-36.35366060930866,0.0999527,5.87452e-07,0
0.6211,0.0,100.0,196512.0,-215357.0,291540.0548689665,-47.61973207548148,0.0999769,3.42927e-07,170497.0,-111860.0,203916.3716061072,-33.26815634205326,0.099959,4.90197e-07,0
0.6851,0.0,150.0,54307.5,-132969.0,143631.6800613639,-67.78380227303035,0.0999737,6.96044e-07,64426.3,-136113.0,150590.49405819082,-64.67042471745553,0.0999716,6.63863e-07,0
0.7456,0.0,200.0,126475.0,-157664.0,202123.38439923275,-51.2640907838902,0.099969,4.94594e-07,129436.0,-97468.5,162030.20270384778,-36.980648907145856,0.0999507,6.16864e-07,0
0.7975,0.0,500.0,58343.5,-105339.0,120417.06238424021,-61.01950145467661,0.0999597,8.30112e-07,71082.3,-88784.4,113733.73754805562,-51.31864243261161,0.0999451,8.78764e-07,0
0.8483,0.0,750.0,44047.6,-88725.8,99057.85507167011,-63.59806733958432,0.0999551,1.00906e-06,35235.7,-70892.1,79165.9295208488,-63.57111593780705,0.0999437,1.26246e-06,0
0.8969,0.0,1000.0,23163.0,-68506.4,72316.32879205083,-71.31886460688426,0.0999556,1.3822e-06,28866.3,-65244.8,71345.26755665017,-66.13393231790486,0.0999432,1.40084e-06,0
0.9450,0.0,1250.0,15952.7,-57588.0,59756.72666143955,-74.5165070655521,0.0999552,1.6727e-06,20176.4,-55993.9,59518.09770288362,-70.18428020553353,0.0999429,1.6792e-06,0
0.9928,0.0,1500.0,11897.2,-49330.4,50744.770489184404,-76.44069275784433,0.0999536,1.96973e-06,14740.6,-48376.7,50572.624919515496,-73.05378337383706,0.0999422,1.97621e-06,0
1.0405,0.0,2000.0,7201.6,-38289.2,38960.56826074281,-79.34800342462438,0.0999523,2.56547e-06,8833.87,-37837.3,38854.839215558466,-76.85855816848569,0.0999412,2.57217e-06,0
1.0879,0.0,2500.0,4817.16,-31200.4,31570.080624312635,-81.22316699431879,0.0999512,3.16601e-06,5853.05,-30939.0,31487.77406077635,-79.28736744286121,0.0999405,3.17395e-06,0
1.1353,0.0,4000.0,2040.64,-19947.3,20051.408651254405,-84.15887253805558,0.099948,4.9846e-06,2473.88,-19864.3,20017.754538019493,-82.90099228393585,0.0999371,4.99243e-06,0
1.1824,0.0,5000.0,1370.4,-16062.1,16120.454477774503,-85.12339950322874,0.0999454,6.1999e-06,1640.59,-16008.7,16092.545206961515,-84.14868975996139,0.0999348,6.20999e-06,0
1.2295,0.0,7500.0,659.851,-10800.3,10820.438227364037,-86.50382466491774,0.0999394,9.23616e-06,784.114,-10774.1,10802.595316635536,-85.83748479948167,0.0999286,9.2504e-06,0
