Tiempo (min),I pulso(mA),Vinst 1 (V),Iinst 1 (mA),Rinst 1(Ohm),Rrem 1 (Ohm),Ibias 1 (mA),Vbias 1 (V),Vinst 2 (V),Iinst 2 (mA),Rinst 2(Ohm),Rrem 2 (Ohm),Ibias 2 (mA),Vbias 2 (V),Ancho pulso (s),Periodo (s),Icc 1 (mA),Vcc 1 (V),Icc 2 (mA),Vcc 2 (V),2W 1?,N
1.971446E-1,0.000000E+0,2.000000E-4,-3.420000E-4,-5.847953E+2,5.572859E+4,8.990000E-4,5.010000E-2,3.525000E-2,-3.420000E-4,-1.030702E+5,4.125473E+4,8.990000E-4,3.708800E-2,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0
2.184958E-1,5.000000E+1,4.960000E-2,8.030000E-4,6.176837E+4,4.916421E+4,1.017000E-3,5.000000E-2,3.473300E-2,8.030000E-4,4.325405E+4,3.489282E+4,1.017000E-3,3.548600E-2,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,2.000000E+0
2.406638E-1,1.000000E+2,1.000000E-1,2.300000E-3,4.347826E+4,4.897760E+4,1.027000E-3,5.030000E-2,3.632100E-2,2.300000E-3,1.579174E+4,3.416943E+4,1.027000E-3,3.509200E-2,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,3.000000E+0
2.615316E-1,1.500000E+2,1.507000E-1,3.589000E-3,4.198941E+4,4.829222E+4,1.054000E-3,5.090000E-2,3.575800E-2,3.589000E-3,9.963221E+3,3.288615E+4,1.054000E-3,3.466200E-2,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,4.000000E+0
2.834829E-1,2.000000E+2,1.981000E-1,4.807000E-3,4.121073E+4,5.771496E+4,8.490000E-4,4.900000E-2,3.599900E-2,4.807000E-3,7.488870E+3,4.223675E+4,8.490000E-4,3.585900E-2,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,5.000000E+0
3.045174E-1,2.500000E+2,2.494000E-1,6.110000E-3,4.081833E+4,5.363248E+4,9.360000E-4,5.020000E-2,3.582000E-2,6.110000E-3,5.862520E+3,3.815385E+4,9.360000E-4,3.571200E-2,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,6.000000E+0
3.267520E-1,3.000000E+2,2.997000E-1,7.433000E-3,4.032019E+4,5.328390E+4,9.440000E-4,5.030000E-2,3.547100E-2,7.433000E-3,4.772097E+3,3.861441E+4,9.440000E-4,3.645200E-2,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,7.000000E+0
3.478032E-1,3.500000E+2,3.502000E-1,9.048000E-3,3.870469E+4,5.096840E+4,9.810000E-4,5.000000E-2,3.590600E-2,9.048000E-3,3.968391E+3,3.664118E+4,9.810000E-4,3.594500E-2,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,8.000000E+0
3.702045E-1,4.000000E+2,4.003000E-1,1.037300E-2,3.859057E+4,5.256545E+4,9.550000E-4,5.020000E-2,3.507900E-2,1.037300E-2,3.381760E+3,3.764084E+4,9.550000E-4,3.594700E-2,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,9.000000E+0
3.912057E-1,4.500000E+2,4.510000E-1,1.178200E-2,3.827873E+4,5.180599E+4,9.690000E-4,5.020000E-2,3.458100E-2,1.178200E-2,2.935070E+3,3.755934E+4,9.690000E-4,3.639500E-2,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+1
4.131403E-1,5.000000E+2,4.984000E-1,1.324200E-2,3.763782E+4,6.066176E+4,8.160000E-4,4.950000E-2,3.514400E-2,1.324200E-2,2.653980E+3,4.335784E+4,8.160000E-4,3.538000E-2,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.100000E+1
4.341915E-1,5.000000E+2,5.004000E-1,1.319400E-2,3.792633E+4,5.898942E+4,8.510000E-4,5.020000E-2,3.532300E-2,1.319400E-2,2.677202E+3,4.185194E+4,8.510000E-4,3.561600E-2,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.200000E+1
4.563094E-1,4.500000E+2,4.487000E-1,1.152100E-2,3.894627E+4,5.067218E+4,9.670000E-4,4.900000E-2,3.596700E-2,1.152100E-2,3.121864E+3,3.774147E+4,9.670000E-4,3.649600E-2,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.300000E+1
4.773273E-1,4.000000E+2,3.988000E-1,1.017300E-2,3.920181E+4,5.094716E+4,1.003000E-3,5.110000E-2,3.589900E-2,1.017300E-2,3.528851E+3,3.434197E+4,1.003000E-3,3.444500E-2,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.400000E+1
4.993619E-1,3.500000E+2,3.502000E-1,8.845000E-3,3.959299E+4,5.184017E+4,9.510000E-4,4.930000E-2,3.411600E-2,8.845000E-3,3.857094E+3,3.773502E+4,9.510000E-4,3.588600E-2,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.500000E+1
