Tiempo (min),I pulso(mA),Vinst 1 (V),Iinst 1 (mA),Rinst 1(Ohm),Rrem 1 (Ohm),Ibias 1 (mA),Vbias 1 (V),Vinst 2 (V),Iinst 2 (mA),Rinst 2(Ohm),Rrem 2 (Ohm),Ibias 2 (mA),Vbias 2 (V),Ancho pulso (s),Periodo (s),Icc 1 (mA),Vcc 1 (V),Icc 2 (mA),Vcc 2 (V),2W 1?,N
1.603592E-1,0.000000E+0,5.000000E-4,-3.390000E-4,-1.474926E+3,5.357918E+4,9.220000E-4,4.940000E-2,9.910000E+37,-3.390000E-4,-2.923304E+44,1.074837E+44,9.220000E-4,9.910000E+37,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0
1.762267E-1,-5.000000E+1,-5.080000E-2,-1.771000E-3,2.868436E+4,6.561680E+4,7.620000E-4,5.000000E-2,9.910000E+37,-1.771000E-3,-5.595709E+43,1.300525E+44,7.620000E-4,9.910000E+37,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,2.000000E+0
1.919276E-1,-1.000000E+2,-9.980000E-2,-3.040000E-3,3.282895E+4,5.185185E+4,9.720000E-4,5.040000E-2,9.910000E+37,-3.040000E-3,-3.259868E+43,1.019547E+44,9.720000E-4,9.910000E+37,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,3.000000E+0
2.077119E-1,-1.500000E+2,-1.494000E-1,-4.264000E-3,3.503752E+4,4.874517E+4,1.036000E-3,5.050000E-2,9.910000E+37,-4.264000E-3,-2.324109E+43,9.565637E+43,1.036000E-3,9.910000E+37,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,4.000000E+0
2.235295E-1,-2.000000E+2,-2.003000E-1,-5.506000E-3,3.637850E+4,4.634598E+4,1.081000E-3,5.010000E-2,9.910000E+37,-5.506000E-3,-1.799855E+43,9.167438E+43,1.081000E-3,9.910000E+37,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,5.000000E+0
2.392303E-1,-2.500000E+2,-2.499000E-1,-6.815000E-3,3.666911E+4,6.136919E+4,8.180000E-4,5.020000E-2,9.910000E+37,-6.815000E-3,-1.454145E+43,1.211491E+44,8.180000E-4,9.910000E+37,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,6.000000E+0
2.548646E-1,-3.000000E+2,-2.997000E-1,-8.142000E-3,3.680914E+4,5.356371E+4,9.260000E-4,4.960000E-2,9.910000E+37,-8.142000E-3,-1.217146E+43,1.070194E+44,9.260000E-4,9.910000E+37,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,7.000000E+0
2.705821E-1,-3.500000E+2,-3.508000E-1,-9.462000E-3,3.707461E+4,5.266458E+4,9.570000E-4,5.040000E-2,9.910000E+37,-9.462000E-3,-1.047347E+43,1.035528E+44,9.570000E-4,9.910000E+37,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,8.000000E+0
2.865497E-1,-4.000000E+2,-4.004000E-1,-1.098600E-2,3.644639E+4,5.114583E+4,9.600000E-4,4.910000E-2,9.910000E+37,-1.098600E-2,-9.020572E+42,1.032292E+44,9.600000E-4,9.910000E+37,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,9.000000E+0
3.022006E-1,-4.500000E+2,-4.503000E-1,-1.221200E-2,3.687357E+4,4.896958E+4,1.019000E-3,4.990000E-2,9.910000E+37,-1.221200E-2,-8.114969E+42,9.725221E+43,1.019000E-3,9.910000E+37,1.000000E-2,0.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+0,1.000000E+1
