Tiempo (min),I pulso(mA),Vinst 1 (V),Iinst 1 (mA),Rinst 1(Ohm),Rrem 1 (Ohm),Ibias 1 (mA),Vbias 1 (V),Vinst 2 (V),Iinst 2 (mA),Rinst 2(Ohm),Rrem 2 (Ohm),Ibias 2 (mA),Vbias 2 (V),Ancho pulso (s),Periodo (s),Icc 1 (mA),Vcc 1 (V),Icc 2 (mA),Vcc 2 (V),2W 1?,N
2.403804E-1,1.000000E+0,1.300000E-3,-6.000000E-5,-2.166667E+4,5.570637E+4,3.610000E-3,2.011000E-1,1.807000E-2,-6.000000E-5,-3.011667E+5,5.085873E+3,3.610000E-3,1.836000E-2,1.000000E-3,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,1.000000E+0
2.617650E-1,-9.900000E+1,-9.970000E-2,-2.060000E-3,4.839806E+4,6.554098E+4,3.050000E-3,1.999000E-1,1.597000E-2,-2.060000E-3,-7.752427E+3,6.914754E+3,3.050000E-3,2.109000E-2,1.000000E-3,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,2.000000E+0
2.831162E-1,-1.990000E+2,-1.988000E-1,-3.860000E-3,5.150259E+4,7.548872E+4,2.660000E-3,2.008000E-1,1.396000E-2,-3.860000E-3,-3.616580E+3,8.206767E+3,2.660000E-3,2.183000E-2,1.000000E-3,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,3.000000E+0
3.047008E-1,-2.990000E+2,-2.978000E-1,-5.180000E-3,5.749035E+4,7.190647E+4,2.780000E-3,1.999000E-1,1.436000E-2,-5.180000E-3,-2.772201E+3,6.971223E+3,2.780000E-3,1.938000E-2,1.000000E-3,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,4.000000E+0
3.260020E-1,-3.990000E+2,-3.982000E-1,-6.250000E-3,6.371200E+4,6.253918E+4,3.190000E-3,1.995000E-1,1.366000E-2,-6.250000E-3,-2.185600E+3,6.567398E+3,3.190000E-3,2.095000E-2,1.000000E-3,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,5.000000E+0
3.472365E-1,-4.990000E+2,-4.991000E-1,-9.420000E-3,5.298301E+4,6.302839E+4,3.170000E-3,1.998000E-1,1.125000E-2,-9.420000E-3,-1.194268E+3,6.533123E+3,3.170000E-3,2.071000E-2,1.000000E-3,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,6.000000E+0
3.687878E-1,-5.990000E+2,-5.994000E-1,-1.027000E-2,5.836417E+4,5.516575E+4,3.620000E-3,1.997000E-1,1.049000E-2,-1.027000E-2,-1.021422E+3,5.555249E+3,3.620000E-3,2.011000E-2,1.000000E-3,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,7.000000E+0
3.901557E-1,-6.990000E+2,-6.995000E-1,-1.321000E-2,5.295231E+4,5.122762E+4,3.910000E-3,2.003000E-1,9.890000E-3,-1.321000E-2,-7.486752E+2,5.641944E+3,3.910000E-3,2.206000E-2,1.000000E-3,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,8.000000E+0
4.115402E-1,-7.990000E+2,-7.989000E-1,-1.664000E-2,4.801082E+4,6.746622E+4,2.960000E-3,1.997000E-1,9.220000E-3,-1.664000E-2,-5.540865E+2,7.003378E+3,2.960000E-3,2.073000E-2,1.000000E-3,0.000000E+0,3.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,9.000000E+0
4.332081E-1,-8.990000E+2,-8.994000E-1,-1.751000E-2,5.136493E+4,4.715962E+4,4.260000E-3,2.009000E-1,6.100000E-3,-1.751000E-2,-3.483724E+2,4.605634E+3,4.260000E-3,1.962000E-2,1.000000E-3,0.000000E+0,1.000000E+0,7.000000E+0,3.000000E+0,7.000000E+0,1.000000E+0,1.000000E+1
