# --- BURST CONFIG LOG ---
# Shape: SQU
# Freq: 1000.0
# Amp: 0.15
# R_lim: 1000.0
# Filter: Savitzky-Golay
# -------------------
Time_s,CH1_V_Supply,CH2_V_Resistor,CH3_V_SenseP,CH4_V_SenseN,I_Sample_Raw,V_Sample_Raw,I_Sample_Filt,V_Sample_Filt
0.0,-0.001552,-0.002028,-0.001264,-0.001144,4.7599999999999987e-07,0.00011999999999999988,7.481378613809181e-07,0.00012400299078363646
2e-07,-0.001552,-0.002028,-0.001264,-0.001144,4.7599999999999987e-07,0.00011999999999999988,7.514158952581977e-07,0.00012365260073342907
4e-07,-0.001552,-0.002028,-0.000948,-0.000858,4.7599999999999987e-07,8.999999999999991e-05,7.563203611421188e-07,0.00012340498889672812
6e-07,-0.001552,-0.002028,-0.001264,-0.000858,4.7599999999999987e-07,0.0004059999999999999,7.627972073689874e-07,0.00012325656548885808
8e-07,-0.001552,-0.002028,-0.001264,-0.000858,4.7599999999999987e-07,0.0004059999999999999,7.7079238227511e-07,0.00012320374072514336
1e-06,-0.001552,-0.002028,-0.001264,-0.001144,4.7599999999999987e-07,0.00011999999999999988,7.80251834196793e-07,0.00012324292482090844
1.2e-06,-0.001552,-0.002028,-0.001264,-0.001144,4.7599999999999987e-07,0.00011999999999999988,7.911215114703425e-07,0.00012337052799147772
1.4e-06,-0.001552,-0.002028,-0.000948,-0.000858,4.7599999999999987e-07,8.999999999999991e-05,8.03347362432065e-07,0.0001235829604521757
1.6e-06,-0.001552,-0.002028,-0.000948,-0.000858,4.7599999999999987e-07,8.999999999999991e-05,8.168753354182667e-07,0.00012387663241832675
1.8e-06,-0.001552,-0.002028,-0.000948,-0.000858,4.7599999999999987e-07,8.999999999999991e-05,8.316513787652541e-07,0.00012424795410525538
2e-06,0.0,-0.002028,-0.000948,-0.000858,2.028e-06,8.999999999999991e-05,8.476214408093333e-07,0.00012469333572828599
2.2e-06,0.0,-0.002028,-0.000948,-0.001144,2.028e-06,-0.0001960000000000001,8.647314698868106e-07,0.00012520918750274305
2.4e-06,0.0,-0.001352,-0.000948,-0.001144,1.352e-06,-0.0001960000000000001,8.829274143339927e-07,0.00012579191964395096
2.5999999999999997e-06,0.0,-0.001352,-0.000948,-0.000858,1.352e-06,8.999999999999991e-05,9.021552224871855e-07,0.0001264379423672342
2.8e-06,0.0,-0.002028,-0.000948,-0.000858,2.028e-06,8.999999999999991e-05,9.223608426826955e-07,0.00012714366588791723
3e-06,0.0,-0.002028,-0.000948,-0.000858,2.028e-06,8.999999999999991e-05,9.434902232568291e-07,0.00012790550042132446
