# --- BURST CONFIG LOG ---
# Shape: PULS
# Freq: 1000.0
# Amp: 0.15
# R_lim: 1000.0
# Filter: Savitzky-Golay
# -------------------
Time_s,CH1_V_Supply,CH2_V_Resistor,CH3_V_SenseP,CH4_V_SenseN,I_Sample_Raw,V_Sample_Raw,I_Sample_Filt,V_Sample_Filt
0.0,0.0016,-0.0008,-0.0004,-0.0004,2.4000000000000003e-06,0.0,1.3089439480344823e-06,0.00035855920433672256
4e-07,0.0016,-0.0008,-0.0004,0.0,2.4000000000000003e-06,0.0004,1.2313060407653037e-06,0.0003598661889648081
8e-07,0.0008,-0.0012000000000000001,-0.0008,-0.0004,2e-06,0.0004,1.1569045386724682e-06,0.0003611481278163395
1.2e-06,-0.0004,-0.0012000000000000001,-0.0008,-0.0004,8.000000000000002e-07,0.0004,1.0856815717657902e-06,0.00036240447205112327
1.6e-06,-0.0012000000000000001,-0.0008,-0.0008,-0.0004,-4.000000000000001e-07,0.0004,1.0175792700550836e-06,0.0003636346728289659
2e-06,-0.002,-0.002,-0.0008,-0.0004,0.0,0.0004,9.525397635501628e-07,0.0003648381813096739
2.4e-06,-0.0016,-0.0024000000000000002,-0.0008,-0.0004,8.000000000000002e-07,0.0004,8.905051822608416e-07,0.00036601444865305374
2.8e-06,-0.0004,0.0004,-0.0008,-0.0004,-8.000000000000001e-07,0.0004,8.314176561969344e-07,0.00036716292601891187
3.2e-06,-0.0004,-0.0004,-0.0008,-0.0004,0.0,0.0004,7.752193153682551e-07,0.00036828306456705484
3.6e-06,0.0,-0.0024000000000000002,-0.0008,-0.0004,2.4000000000000003e-06,0.0004,7.218522897846178e-07,0.0003693743154572891
4e-06,0.0004,-0.002,-0.0008,-0.0004,2.4000000000000003e-06,0.0004,6.712587094558367e-07,0.0003704361298494211
4.4e-06,0.0,-0.0008,-0.0008,-0.0004,8.000000000000001e-07,0.0004,6.23380704391726e-07,0.00037146795890325747
4.8e-06,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0004,5.781604046020994e-07,0.0003724692537786045
5.199999999999999e-06,-0.0008,-0.0008,-0.0008,-0.0004,0.0,0.0004,5.355399400967714e-07,0.0003734394656352689
5.6e-06,-0.0012000000000000001,-0.002,-0.0008,-0.0004,8e-07,0.0004,4.95461440885556e-07,0.00037437804563305693
6e-06,-0.0012000000000000001,-0.0016,-0.0008,-0.0004,4e-07,0.0004,4.578670369782672e-07,0.0003752844449317752
6.4e-06,-0.0012000000000000001,-0.0008,-0.0008,-0.0004,-4.000000000000001e-07,0.0004,4.226988583847193e-07,0.0003761581146912302
6.799999999999999e-06,-0.0008,-0.0008,-0.0004,0.0,0.0,0.0004,3.8989903511472623e-07,0.0003769985060712284
7.2e-06,-0.0008,-0.0012000000000000001,-0.0008,-0.0004,4.000000000000001e-07,0.0004,3.5940969717810215e-07,0.0003778050702315763
7.6e-06,-0.0004,-0.0012000000000000001,-0.0008,-0.0004,8.000000000000002e-07,0.0004,3.311729745846612e-07,0.00037857725833208034
