Current_A,Voltage_V
0.0,0.000697
1.0169491525423729e-07,0.228996
2.0338983050847458e-07,0.457681
3.0508474576271186e-07,0.696399
4.0677966101694916e-07,0.924443
5.084745762711865e-07,1.151371
6.101694915254237e-07,1.386195
7.118644067796611e-07,1.610014
8.135593220338983e-07,1.832584
9.152542372881356e-07,2.065948
1.016949152542373e-06,2.286175
1.1186440677966102e-06,2.506765
1.2203389830508474e-06,2.738802
1.3220338983050847e-06,2.959613
1.4237288135593222e-06,3.177149
1.5254237288135594e-06,3.405846
1.6271186440677967e-06,3.620685
1.728813559322034e-06,3.834273
1.8305084745762712e-06,4.055836
1.9322033898305084e-06,4.26675
2.033898305084746e-06,4.477186
2.135593220338983e-06,4.695619
2.2372881355932204e-06,4.901852
2.338983050847458e-06,5.111668
2.440677966101695e-06,5.324317
2.5423728813559323e-06,5.529355
2.6440677966101694e-06,5.730003
2.745762711864407e-06,5.94379
2.8474576271186443e-06,6.142281
2.9491525423728813e-06,6.338795
3.050847457627119e-06,6.541755
3.152542372881356e-06,6.731751
3.2542372881355933e-06,6.927919
3.3559322033898308e-06,7.121167
3.457627118644068e-06,7.305755
3.5593220338983053e-06,7.493152
3.6610169491525423e-06,7.687905
3.7627118644067798e-06,7.867261
3.864406779661017e-06,8.045909
3.966101694915254e-06,8.238317
4.067796610169492e-06,8.417686
4.169491525423729e-06,8.602938
4.271186440677966e-06,8.790988
4.372881355932203e-06,8.972102
4.474576271186441e-06,9.144955
4.576271186440678e-06,9.328559
4.677966101694916e-06,9.509686
4.779661016949152e-06,9.682096
4.88135593220339e-06,9.866695
4.983050847457627e-06,10.04239
5.084745762711865e-06,10.22043
5.186440677966102e-06,10.403635
5.288135593220339e-06,10.583867
5.389830508474576e-06,10.757229
5.491525423728814e-06,10.942226
5.593220338983051e-06,11.114515
5.694915254237289e-06,11.295121
5.796610169491525e-06,11.479852
5.898305084745763e-06,11.654674
6e-06,11.84738
5.898305084745763e-06,11.665148
5.796610169491525e-06,11.488745
5.694915254237289e-06,11.305761
5.593220338983051e-06,11.124613
5.491525423728814e-06,10.944405
5.389830508474576e-06,10.75422
5.288135593220339e-06,10.56606
5.186440677966102e-06,10.385939
5.084745762711865e-06,10.186463
4.983050847457627e-06,9.999376
4.88135593220339e-06,9.810928
4.779661016949152e-06,9.615534
4.677966101694916e-06,9.433356
4.576271186440678e-06,9.242741
4.474576271186441e-06,9.041407
4.372881355932203e-06,8.85036
4.271186440677967e-06,8.660187
4.169491525423729e-06,8.459904
4.067796610169492e-06,8.270204
3.966101694915254e-06,8.079953
3.864406779661017e-06,7.882071
3.7627118644067798e-06,7.692351
3.6610169491525423e-06,7.494336
3.5593220338983053e-06,7.295403
3.457627118644068e-06,7.097996
3.3559322033898308e-06,6.908475
3.2542372881355933e-06,6.707274
3.152542372881356e-06,6.512577
3.050847457627119e-06,6.313257
2.9491525423728813e-06,6.110615
2.8474576271186443e-06,5.91531
2.745762711864407e-06,5.716321
2.6440677966101694e-06,5.512731
2.5423728813559323e-06,5.310978
2.440677966101695e-06,5.113482
2.338983050847458e-06,4.901951
2.2372881355932204e-06,4.700242
2.1355932203389833e-06,4.496033
2.033898305084746e-06,4.285995
1.9322033898305084e-06,4.082481
1.830508474576271e-06,3.877298
1.7288135593220343e-06,3.660325
1.6271186440677969e-06,3.453904
1.5254237288135594e-06,3.247483
1.423728813559322e-06,3.026971
1.3220338983050845e-06,2.820959
1.2203389830508479e-06,2.6106
1.1186440677966104e-06,2.392245
1.016949152542373e-06,2.180437
9.152542372881355e-07,1.969324
8.13559322033898e-07,1.747076
7.118644067796614e-07,1.532337
6.101694915254239e-07,1.319766
5.084745762711865e-07,1.09494
4.06779661016949e-07,0.879439
3.0508474576271154e-07,0.664335
2.0338983050847493e-07,0.438226
1.0169491525423746e-07,0.222525
0.0,0.007587
