# --- BURST CONFIG LOG ---
# Shape: PULS
# Freq: 100.0
# Amp: 0.4
# R_lim: 199200.0
# Filter: Savitzky-Golay
# -------------------
Time_s,CH1_V_Supply,CH2_V_Resistor,CH3_V_SenseP,CH4_V_SenseN,I_Sample_Raw,V_Sample_Raw,I_Sample_Filt,V_Sample_Filt
0.0,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
2e-06,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
4e-06,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
6e-06,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
8e-06,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
9.999999999999999e-06,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
1.2e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
1.4e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
1.6e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
1.8e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
1.9999999999999998e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
2.2e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
2.4e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
2.6e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
2.8e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
2.9999999999999997e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
3.2e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
3.4e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
3.6e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
3.7999999999999995e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
3.9999999999999996e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
4.2e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
4.4e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
4.6e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
4.8e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
4.9999999999999996e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
5.2e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
5.4e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
5.6e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
5.8e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
5.9999999999999995e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
6.2e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
6.4e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
6.599999999999999e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
6.8e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
7e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
7.2e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
7.4e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
7.599999999999999e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
7.8e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
7.999999999999999e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
8.2e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
8.4e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
8.599999999999999e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
8.8e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
8.999999999999999e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
9.2e-05,0.0,-0.00336,-0.0004,-0.0004,1.6867469879518072e-08,0.0,1.6867469879518066e-08,0.0
