# --- BURST CONFIG LOG ---
# Shape: PULS
# Freq: 1000.0
# Amp: 0.15
# R_lim: 1000.0
# Filter: Savitzky-Golay
# -------------------
Time_s,CH1_V_Supply,CH2_V_Resistor,CH3_V_SenseP,CH4_V_SenseN,I_Sample_Raw,V_Sample_Raw,I_Sample_Filt,V_Sample_Filt
0.0,0.0,0.010400000000000001,-0.008136,-0.014508,-1.0400000000000002e-05,-0.006372000000000001,-2.417811691110697e-06,-0.00024287040677006895
2e-09,-0.0012000000000000001,0.0092,0.00226,0.000468,-1.0399999999999999e-05,-0.0017919999999999998,-2.3359079764234518e-06,-0.00021124121226778633
4e-09,-0.0004,-0.0016,0.0113,0.015444,1.2000000000000002e-06,0.004144,-2.2569456597726843e-06,-0.00018060313452335978
6.000000000000001e-09,-0.0004,-0.01,0.005424,0.010764,9.600000000000001e-06,0.005339999999999999,-2.1808787032800576e-06,-0.00015094374125195812
8e-09,0.0012000000000000001,-0.002,-0.007684,-0.007488,3.2000000000000003e-06,0.000196,-2.107661069067234e-06,-0.00012225060016875033
1e-08,0.0004,0.0076,-0.010848,-0.015444,-7.2e-06,-0.004595999999999999,-2.0372467192558767e-06,-9.451127898890528e-05
1.2000000000000002e-08,0.0,0.0108,0.000452,-0.00234,-1.08e-05,-0.002792,-1.9695896159676478e-06,-6.771334542759195e-05
1.4000000000000001e-08,-0.0008,0.0004,0.0113,0.01404,-1.2000000000000002e-06,0.002740000000000001,-1.9046437213242104e-06,-4.1844367199979165e-05
1.6e-08,-0.002,-0.0092,0.008136,0.013571999999999999,7.2e-06,0.005436,-1.8423629974472265e-06,-1.68919120212359e-05
1.8000000000000002e-08,0.0008,-0.004,-0.004972,-0.003744,4.800000000000001e-06,0.001228,-1.7827014064583593e-06,7.156452393468929e-06
2e-08,0.0,0.006,-0.0113,-0.015912,-6e-06,-0.004612,-1.7256129104792708e-06,3.0313158328966412e-05
2.2000000000000002e-08,0.0004,0.010400000000000001,-0.0031639999999999997,-0.00702,-1.0000000000000003e-05,-0.0038560000000000005,-1.6710514716316242e-06,5.259063807008761e-05
2.4000000000000003e-08,-0.0012000000000000001,0.0012000000000000001,0.009944,0.0117,-2.4000000000000003e-06,0.0017560000000000006,-1.618971052037082e-06,7.400132390166363e-05
2.6e-08,-0.0012000000000000001,-0.008,0.012204,0.015444,6.8e-06,0.00324,-1.5693256138173063e-06,9.455764810852564e-05
2.8000000000000003e-08,0.002,-0.0056,-0.000904,0.0,7.6e-06,0.000904,-1.5220691190939604e-06,0.00011427204297550459
3.0000000000000004e-08,0.002,0.004,-0.013108,-0.014508,-2e-06,-0.0014000000000000002,-1.4771555299887066e-06,0.0001331569407874316
3.2e-08,0.002,0.0088,-0.007684,-0.010296,-6.8e-06,-0.0026119999999999997,-1.4345388086232074e-06,0.00015122477382913783
3.4e-08,-0.002,0.0044,0.008136,0.008892,-6.4000000000000006e-06,0.0007560000000000015,-1.3941729171191255e-06,0.00016848797438545428
3.6000000000000005e-08,-0.002,-0.0036000000000000003,0.013108,0.017315999999999998,1.6000000000000004e-06,0.004207999999999998,-1.3560118175981238e-06,0.00018495897474121202
3.8e-08,0.0004,-0.0068000000000000005,0.001808,0.004212,7.2000000000000005e-06,0.002404,-1.3200094721818644e-06,0.0002006502071812422
4e-08,0.0016,0.0008,-0.012204,-0.013104,8.000000000000001e-07,-0.0008999999999999998,-1.2861198429920105e-06,0.00021557410399037591
4.2000000000000006e-08,0.0004,0.0076,-0.009492,-0.013104,-7.2e-06,-0.003611999999999999,-1.2542968921502242e-06,0.00022974309745344413
4.4000000000000004e-08,-0.0032,0.0076,0.004068,0.004212,-1.08e-05,0.00014400000000000003,-1.2244945817781683e-06,0.00024316961985527814
4.6e-08,-0.0024000000000000002,0.0,0.013108,0.015912,-2.4000000000000003e-06,0.002803999999999999,-1.1966668739975057e-06,0.0002558661034807089
4.8000000000000006e-08,0.0004,-0.007200000000000001,0.006327999999999999,0.008892,7.600000000000001e-06,0.002564000000000001,-1.1707677309298983e-06,0.00026784498061456735
5.0000000000000004e-08,0.0028,-0.0016,-0.009492,-0.009828,4.4e-06,-0.0003359999999999995,-1.1467511146970095e-06,0.0002791186835416848
5.2e-08,0.0,0.005200000000000001,-0.012204,-0.014976,-5.200000000000001e-06,-0.002772,-1.1245709874205014e-06,0.00028969964454689235
5.4e-08,-0.0024000000000000002,0.0088,-0.000452,-0.000468,-1.1200000000000001e-05,-1.600000000000001e-05,-1.104181311222037e-06,0.0002996002959150209
5.6000000000000005e-08,-0.002,0.002,0.013108,0.014976,-4e-06,0.0018679999999999999,-1.0855360482232784e-06,0.0003088330699309017
5.8e-08,0.0008,-0.0068000000000000005,0.008588,0.011231999999999999,7.600000000000001e-06,0.0026439999999999988,-1.0685891605458887e-06,0.0003174103988793657
6.000000000000001e-08,0.0028,-0.006,-0.006327999999999999,-0.006084,8.8e-06,0.00024399999999999943,-1.0532946103115301e-06,0.000325344715045244
6.2e-08,0.0,0.0016,-0.013108,-0.014508,-1.6000000000000001e-06,-0.0014000000000000002,-1.039606359641866e-06,0.00033264845071336773
6.4e-08,-0.0024000000000000002,0.0112,-0.0031639999999999997,-0.005148,-1.36e-05,-0.001984,-1.027478370658558e-06,0.0003393340381685681
6.600000000000001e-08,-0.0024000000000000002,0.005200000000000001,0.010395999999999999,0.0117,-7.600000000000001e-06,0.0013040000000000013,-1.0168646054832691e-06,0.0003454139096956759
6.8e-08,0.0004,-0.006,0.010395999999999999,0.013571999999999999,6.4000000000000006e-06,0.003176,-1.007719026237662e-06,0.0003509004975795225
7e-08,0.0016,-0.008,-0.001808,-0.000936,9.600000000000001e-06,0.0008719999999999999,-9.999955950433994e-07,0.00035580623410493874
7.200000000000001e-08,-0.0004,0.0008,-0.0113,-0.013104,-1.2000000000000002e-06,-0.001804,-9.93648274022144e-07,0.00036014355155675594
7.4e-08,-0.0024000000000000002,0.012400000000000001,-0.006327999999999999,-0.008424,-1.48e-05,-0.0020959999999999998,-9.886310252955583e-07,0.0003639248822198052
7.6e-08,-0.002,0.0068000000000000005,0.005424,0.007956,-8.8e-06,0.0025319999999999995,-9.848978109853045e-07,0.00036716265837891734
7.800000000000001e-08,0.0012000000000000001,-0.0044,0.0113,0.01404,5.600000000000001e-06,0.002740000000000001,-9.824025932130456e-07,0.00036986931231892364
8e-08,0.002,-0.009600000000000001,0.002712,0.003744,1.16e-05,0.001032,-9.810993341004443e-07,0.00037205727632465496
8.2e-08,-0.0016,-0.002,-0.008588,-0.011231999999999999,4e-07,-0.0026439999999999988,-9.80941995769163e-07,0.00037373898268094256
8.400000000000001e-08,-0.0032,0.012400000000000001,-0.00904,-0.010764,-1.56e-05,-0.0017239999999999998,-9.818845403408648e-07,0.00037492686367261783
8.6e-08,-0.0016,0.009600000000000001,0.00226,0.003276,-1.1200000000000001e-05,0.001016,-9.838809299372114e-07,0.0003756333515845114
8.800000000000001e-08,0.0024000000000000002,-0.0032,0.010848,0.012636,5.600000000000001e-06,0.0017879999999999997,-9.86885126679866e-07,0.0003758708787014543
9.000000000000001e-08,0.0024000000000000002,-0.0128,0.005876,0.006552,1.5200000000000002e-05,0.0006759999999999995,-9.908510926904913e-07,0.00037565187730827785
9.2e-08,-0.0008,-0.0048000000000000004,-0.005876,-0.007488,4e-06,-0.0016119999999999997,-9.957327900907494e-07,0.0003749887796898133
9.400000000000001e-08,-0.002,0.0132,-0.009944,-0.0117,-1.52e-05,-0.0017560000000000006,-1.0014841810023035e-06,0.00037389401813089137
9.600000000000001e-08,-0.0004,0.0132,-0.001808,-0.000936,-1.3599999999999999e-05,0.0008719999999999999,-1.0080592275468158e-06,0.00037238002491634336
9.8e-08,0.002,-0.0016,0.008588,0.011231999999999999,3.6e-06,0.0026439999999999988,-1.01541189184595e-06,0.0003704592323310003
1.0000000000000001e-07,0.0008,-0.014400000000000001,0.008588,0.00936,1.5200000000000002e-05,0.0007720000000000001,-1.0234961360212232e-06,0.0003681440726596408
1.02e-07,-0.0024000000000000002,-0.006,-0.001356,-0.003744,3.6e-06,-0.002388,-1.1246872260039938e-06,0.0003276222534874382
1.04e-07,-0.0024000000000000002,0.012400000000000001,-0.0113,-0.012168,-1.48e-05,-0.0008680000000000007,-1.3671510840402485e-06,0.00021116221136673762
1.0600000000000001e-07,-0.0004,0.016,-0.006327999999999999,-0.005148,-1.6400000000000002e-05,0.0011799999999999996,-1.4104614344927626e-06,0.0001615279275500136
