Current_A,Voltage_V
0.0,-0.000404886
5.2631578947368416e-08,0.12678549
1.0526315789473683e-07,0.26633536
1.5789473684210525e-07,0.39195385
2.1052631578947366e-07,0.52969246
2.631578947368421e-07,0.6519085
3.157894736842105e-07,0.78408199
3.684210526315789e-07,0.90260518
4.2105263157894733e-07,1.029524
4.7368421052631574e-07,1.1410293
5.263157894736842e-07,1.2620643
5.789473684210526e-07,1.3695326
6.31578947368421e-07,1.4851045
6.842105263157894e-07,1.5880535
7.368421052631578e-07,1.6983406
7.894736842105263e-07,1.7961568
8.421052631578947e-07,1.90442
8.94736842105263e-07,2.0009043
9.473684210526315e-07,2.1050895
1e-06,2.2077219
9.473684210526316e-07,2.1051191
8.947368421052631e-07,1.9989609
8.421052631578947e-07,1.903549
7.894736842105263e-07,1.7970608
7.368421052631579e-07,1.6965072
6.842105263157895e-07,1.5863289
6.31578947368421e-07,1.4839881
5.789473684210526e-07,1.3682216
5.263157894736843e-07,1.2616562
4.736842105263158e-07,1.1404541
4.2105263157894733e-07,1.0286513
3.6842105263157896e-07,0.90125951
3.157894736842106e-07,0.78407013
2.6315789473684213e-07,0.6522341
2.1052631578947366e-07,0.52924543
1.578947368421053e-07,0.39194587
1.0526315789473694e-07,0.26626926
5.263157894736847e-08,0.12712451
0.0,0.000465854
-5.2631578947368416e-08,-0.12532159
-1.0526315789473683e-07,-0.26302604
-1.5789473684210525e-07,-0.38664306
-2.1052631578947366e-07,-0.52223979
-2.631578947368421e-07,-0.64348183
-3.157894736842105e-07,-0.77486032
-3.684210526315789e-07,-0.89294936
-4.2105263157894733e-07,-1.0226123
-4.7368421052631574e-07,-1.1388526
-5.263157894736842e-07,-1.2661784
-5.789473684210526e-07,-1.3796123
-6.31578947368421e-07,-1.5037748
-6.842105263157894e-07,-1.6154643
-7.368421052631578e-07,-1.7354431
-7.894736842105263e-07,-1.8448855
-8.421052631578947e-07,-1.965301
-8.94736842105263e-07,-2.0726109
-9.473684210526315e-07,-2.1902536
-1e-06,-2.3047442
-9.473684210526316e-07,-2.1942163
-8.947368421052631e-07,-2.0805617
-8.421052631578947e-07,-1.9748081
-7.894736842105263e-07,-1.8567803
-7.368421052631579e-07,-1.7473896
-6.842105263157895e-07,-1.6276649
-6.31578947368421e-07,-1.5153034
-5.789473684210526e-07,-1.3924508
-5.263157894736843e-07,-1.277586
-4.736842105263158e-07,-1.1503822
-4.2105263157894733e-07,-1.0329867
-3.6842105263157896e-07,-0.90527123
-3.157894736842106e-07,-0.78379449
-2.6315789473684213e-07,-0.65053861
-2.1052631578947366e-07,-0.52773634
-1.578947368421053e-07,-0.39094039
-1.0526315789473694e-07,-0.26592869
-5.263157894736847e-08,-0.12746958
0.0,-0.001382976
